seq,expert_bytes,tensor_base,expert_idx,tensor
149,4030464,0x0,181,blk.8.ffn_up_exps.weight
150,4030464,0x0,220,blk.8.ffn_up_exps.weight
151,4030464,0x0,229,blk.8.ffn_up_exps.weight
152,4030464,0x0,243,blk.8.ffn_up_exps.weight
153,4030464,0x0,39,blk.8.ffn_gate_exps.weight
154,4030464,0x0,79,blk.8.ffn_gate_exps.weight
155,4030464,0x0,91,blk.8.ffn_gate_exps.weight
156,4030464,0x0,130,blk.8.ffn_gate_exps.weight
157,4030464,0x0,181,blk.8.ffn_gate_exps.weight
158,4030464,0x0,220,blk.8.ffn_gate_exps.weight
159,4030464,0x0,229,blk.8.ffn_gate_exps.weight
160,4030464,0x0,243,blk.8.ffn_gate_exps.weight
161,4816896,0x0,39,blk.8.ffn_down_exps.weight
162,4816896,0x0,79,blk.8.ffn_down_exps.weight
163,4816896,0x0,91,blk.8.ffn_down_exps.weight
164,4816896,0x0,130,blk.8.ffn_down_exps.weight
165,4816896,0x0,181,blk.8.ffn_down_exps.weight
166,4816896,0x0,220,blk.8.ffn_down_exps.weight
167,4816896,0x0,229,blk.8.ffn_down_exps.weight
168,4816896,0x0,243,blk.8.ffn_down_exps.weight
169,4030464,0x0,105,blk.9.ffn_up_exps.weight
170,4030464,0x0,131,blk.9.ffn_up_exps.weight
171,4030464,0x0,181,blk.9.ffn_up_exps.weight
172,4030464,0x0,194,blk.9.ffn_up_exps.weight
173,4030464,0x0,211,blk.9.ffn_up_exps.weight
174,4030464,0x0,220,blk.9.ffn_up_exps.weight
175,4030464,0x0,242,blk.9.ffn_up_exps.weight
176,4030464,0x0,249,blk.9.ffn_up_exps.weight
177,4030464,0x0,105,blk.9.ffn_gate_exps.weight
178,4030464,0x0,131,blk.9.ffn_gate_exps.weight
179,4030464,0x0,181,blk.9.ffn_gate_exps.weight
180,4030464,0x0,194,blk.9.ffn_gate_exps.weight
181,4030464,0x0,211,blk.9.ffn_gate_exps.weight
182,4030464,0x0,220,blk.9.ffn_gate_exps.weight
183,4030464,0x0,242,blk.9.ffn_gate_exps.weight
184,4030464,0x0,249,blk.9.ffn_gate_exps.weight
185,4816896,0x0,105,blk.9.ffn_down_exps.weight
186,4816896,0x0,131,blk.9.ffn_down_exps.weight
187,4816896,0x0,181,blk.9.ffn_down_exps.weight
188,4816896,0x0,194,blk.9.ffn_down_exps.weight
189,4816896,0x0,211,blk.9.ffn_down_exps.weight
190,4816896,0x0,220,blk.9.ffn_down_exps.weight
191,4816896,0x0,242,blk.9.ffn_down_exps.weight
192,4816896,0x0,249,blk.9.ffn_down_exps.weight
193,4030464,0x0,10,blk.10.ffn_up_exps.weight
194,4030464,0x0,73,blk.10.ffn_up_exps.weight
195,4030464,0x0,97,blk.10.ffn_up_exps.weight
196,4030464,0x0,98,blk.10.ffn_up_exps.weight
197,4030464,0x0,124,blk.10.ffn_up_exps.weight
198,4030464,0x0,156,blk.10.ffn_up_exps.weight
199,4030464,0x0,204,blk.10.ffn_up_exps.weight
200,4030464,0x0,223,blk.10.ffn_up_exps.weight
201,4030464,0x0,10,blk.10.ffn_gate_exps.weight
202,4030464,0x0,73,blk.10.ffn_gate_exps.weight
203,4030464,0x0,97,blk.10.ffn_gate_exps.weight
204,4030464,0x0,98,blk.10.ffn_gate_exps.weight
205,4030464,0x0,124,blk.10.ffn_gate_exps.weight
206,4030464,0x0,156,blk.10.ffn_gate_exps.weight
207,4030464,0x0,204,blk.10.ffn_gate_exps.weight
208,4030464,0x0,223,blk.10.ffn_gate_exps.weight
209,4816896,0x0,10,blk.10.ffn_down_exps.weight
210,4816896,0x0,73,blk.10.ffn_down_exps.weight
211,4816896,0x0,97,blk.10.ffn_down_exps.weight
212,4816896,0x0,98,blk.10.ffn_down_exps.weight
213,4816896,0x0,124,blk.10.ffn_down_exps.weight
214,4816896,0x0,156,blk.10.ffn_down_exps.weight
215,4816896,0x0,204,blk.10.ffn_down_exps.weight
216,4816896,0x0,223,blk.10.ffn_down_exps.weight
217,4030464,0x0,51,blk.11.ffn_up_exps.weight
218,4030464,0x0,73,blk.11.ffn_up_exps.weight
219,4030464,0x0,100,blk.11.ffn_up_exps.weight
220,4030464,0x0,108,blk.11.ffn_up_exps.weight
221,4030464,0x0,113,blk.11.ffn_up_exps.weight
222,4030464,0x0,126,blk.11.ffn_up_exps.weight
223,4030464,0x0,211,blk.11.ffn_up_exps.weight
224,4030464,0x0,242,blk.11.ffn_up_exps.weight
225,4030464,0x0,51,blk.11.ffn_gate_exps.weight
226,4030464,0x0,73,blk.11.ffn_gate_exps.weight
227,4030464,0x0,100,blk.11.ffn_gate_exps.weight
228,4030464,0x0,108,blk.11.ffn_gate_exps.weight
229,4030464,0x0,113,blk.11.ffn_gate_exps.weight
230,4030464,0x0,126,blk.11.ffn_gate_exps.weight
231,4030464,0x0,211,blk.11.ffn_gate_exps.weight
232,4030464,0x0,242,blk.11.ffn_gate_exps.weight
233,4816896,0x0,51,blk.11.ffn_down_exps.weight
234,4816896,0x0,73,blk.11.ffn_down_exps.weight
235,4816896,0x0,100,blk.11.ffn_down_exps.weight
236,4816896,0x0,108,blk.11.ffn_down_exps.weight
237,4816896,0x0,113,blk.11.ffn_down_exps.weight
238,4816896,0x0,126,blk.11.ffn_down_exps.weight
239,4816896,0x0,211,blk.11.ffn_down_exps.weight
240,4816896,0x0,242,blk.11.ffn_down_exps.weight
241,4030464,0x0,137,blk.12.ffn_up_exps.weight
242,4030464,0x0,145,blk.12.ffn_up_exps.weight
243,4030464,0x0,155,blk.12.ffn_up_exps.weight
244,4030464,0x0,184,blk.12.ffn_up_exps.weight
245,4030464,0x0,185,blk.12.ffn_up_exps.weight
246,4030464,0x0,196,blk.12.ffn_up_exps.weight
247,4030464,0x0,240,blk.12.ffn_up_exps.weight
248,4030464,0x0,251,blk.12.ffn_up_exps.weight
249,4030464,0x0,137,blk.12.ffn_gate_exps.weight
250,4030464,0x0,145,blk.12.ffn_gate_exps.weight
251,4030464,0x0,155,blk.12.ffn_gate_exps.weight
252,4030464,0x0,184,blk.12.ffn_gate_exps.weight
253,4030464,0x0,185,blk.12.ffn_gate_exps.weight
254,4030464,0x0,196,blk.12.ffn_gate_exps.weight
255,4030464,0x0,240,blk.12.ffn_gate_exps.weight
256,4030464,0x0,251,blk.12.ffn_gate_exps.weight
257,4816896,0x0,137,blk.12.ffn_down_exps.weight
258,4816896,0x0,145,blk.12.ffn_down_exps.weight
259,4816896,0x0,155,blk.12.ffn_down_exps.weight
260,4816896,0x0,184,blk.12.ffn_down_exps.weight
261,4816896,0x0,185,blk.12.ffn_down_exps.weight
262,4816896,0x0,196,blk.12.ffn_down_exps.weight
263,4816896,0x0,240,blk.12.ffn_down_exps.weight
264,4816896,0x0,251,blk.12.ffn_down_exps.weight
265,4030464,0x0,62,blk.13.ffn_up_exps.weight
