# fastllm_disk_moe_route_profile_v1
# merge_runs=2405 routed_refs=17571
layer	expert	hits	bytes_per_hit	total_bytes
24	64	11	13369344	147062784
24	167	11	13369344	147062784
25	157	11	13369344	147062784
26	33	11	13369344	147062784
27	114	11	13369344	147062784
28	163	11	13369344	147062784
30	78	11	13369344	147062784
30	94	11	13369344	147062784
30	171	11	13369344	147062784
31	25	11	13369344	147062784
32	6	11	13369344	147062784
32	131	11	13369344	147062784
32	155	11	13369344	147062784
34	222	11	13369344	147062784
35	167	11	13369344	147062784
35	202	11	13369344	147062784
36	106	11	13369344	147062784
37	84	11	13369344	147062784
37	94	11	13369344	147062784
37	193	11	13369344	147062784
38	10	11	13369344	147062784
38	131	11	13369344	147062784
38	165	11	13369344	147062784
39	3	11	13369344	147062784
39	36	11	13369344	147062784
39	48	11	13369344	147062784
39	227	11	13369344	147062784
41	189	11	13369344	147062784
42	83	11	13369344	147062784
6	3	10	13369344	133693440
6	101	10	13369344	133693440
6	139	10	13369344	133693440
6	195	10	13369344	133693440
6	201	10	13369344	133693440
6	253	10	13369344	133693440
7	104	10	13369344	133693440
7	132	10	13369344	133693440
7	187	10	13369344	133693440
8	132	10	13369344	133693440
8	217	10	13369344	133693440
9	87	10	13369344	133693440
9	138	10	13369344	133693440
9	153	10	13369344	133693440
10	106	10	13369344	133693440
10	149	10	13369344	133693440
10	242	10	13369344	133693440
11	137	10	13369344	133693440
12	134	10	13369344	133693440
12	166	10	13369344	133693440
12	191	10	13369344	133693440
13	55	10	13369344	133693440
13	91	10	13369344	133693440
13	122	10	13369344	133693440
13	129	10	13369344	133693440
13	155	10	13369344	133693440
16	57	10	13369344	133693440
16	168	10	13369344	133693440
16	180	10	13369344	133693440
19	107	10	13369344	133693440
19	112	10	13369344	133693440
19	184	10	13369344	133693440
20	28	10	13369344	133693440
21	21	10	13369344	133693440
21	26	10	13369344	133693440
22	147	10	13369344	133693440
23	47	10	13369344	133693440
23	142	10	13369344	133693440
23	165	10	13369344	133693440
24	28	10	13369344	133693440
24	101	10	13369344	133693440
25	9	10	13369344	133693440
25	33	10	13369344	133693440
25	136	10	13369344	133693440
25	217	10	13369344	133693440
27	43	10	13369344	133693440
27	92	10	13369344	133693440
28	193	10	13369344	133693440
28	225	10	13369344	133693440
29	93	10	13369344	133693440
29	191	10	13369344	133693440
29	214	10	13369344	133693440
29	226	10	13369344	133693440
31	170	10	13369344	133693440
33	107	10	13369344	133693440
33	189	10	13369344	133693440
33	241	10	13369344	133693440
34	32	10	13369344	133693440
34	100	10	13369344	133693440
35	28	10	13369344	133693440
36	187	10	13369344	133693440
37	55	10	13369344	133693440
37	74	10	13369344	133693440
37	123	10	13369344	133693440
37	227	10	13369344	133693440
37	250	10	13369344	133693440
39	50	10	13369344	133693440
39	105	10	13369344	133693440
39	169	10	13369344	133693440
39	194	10	13369344	133693440
40	110	10	13369344	133693440
41	78	10	13369344	133693440
41	129	10	13369344	133693440
42	7	10	13369344	133693440
42	22	10	13369344	133693440
42	54	10	13369344	133693440
42	131	10	13369344	133693440
42	212	10	13369344	133693440
42	253	10	13369344	133693440
6	161	9	13369344	120324096
6	221	9	13369344	120324096
8	15	9	13369344	120324096
8	255	9	13369344	120324096
9	20	9	13369344	120324096
9	97	9	13369344	120324096
9	147	9	13369344	120324096
9	186	9	13369344	120324096
10	190	9	13369344	120324096
10	248	9	13369344	120324096
11	22	9	13369344	120324096
11	56	9	13369344	120324096
11	195	9	13369344	120324096
11	210	9	13369344	120324096
