op,role,layer,batches,jobs,read_jobs,avg_read_jobs_per_batch,weighted_inflight_avg,max_inflight,wait_ms,wall_ms,wait_ms_per_read_job,small_read_batch_rate_le4,small_read_batch_rate_le8
runtime_load,down,23,85,484,484,5.694117647058824,3.71584018801653,8,290.8287860000001,301.07101100000006,0.6008859214876034,0.24705882352941178,1.0
runtime_load,gate,33,85,403,403,4.741176470588235,3.7990665285359797,8,288.5217449999999,299.067694,0.715934851116625,0.4470588235294118,1.0
runtime_load,up,8,85,406,406,4.776470588235294,3.496023913793104,8,287.7867409999999,297.84045799999996,0.7088343374384234,0.43529411764705883,1.0
runtime_load,gate,30,85,403,403,4.741176470588235,3.7185040669975185,8,285.583956,295.551462,0.7086450521091812,0.43529411764705883,1.0
runtime_load,down,20,85,476,476,5.6,3.7149159558823532,8,285.3519590000001,295.40169799999995,0.5994789054621851,0.23529411764705882,1.0
runtime_load,down,18,85,439,439,5.1647058823529415,3.528186364464692,8,284.95668100000006,294.78110200000003,0.6491040569476083,0.35294117647058826,1.0
runtime_load,gate,10,85,465,465,5.470588235294118,3.8233691870967745,8,284.6771279999999,296.27093799999994,0.6122088774193547,0.24705882352941178,1.0
runtime_load,up,10,85,465,465,5.470588235294118,3.6269329182795707,8,284.497262,295.34089899999987,0.6118220688172042,0.24705882352941178,1.0
runtime_load,gate,31,84,394,394,4.690476190476191,3.701692035532995,8,279.818366,289.938297,0.7101988984771574,0.47619047619047616,1.0
runtime_load,up,33,85,403,403,4.741176470588235,3.408950719602978,8,279.411972,289.344386,0.6933299553349875,0.4470588235294118,1.0
runtime_load,down,19,85,454,454,5.341176470588235,3.7426788370044055,8,278.971659,288.66024500000003,0.6144750198237885,0.35294117647058826,1.0
runtime_load,gate,8,85,406,406,4.776470588235294,3.3050492733990144,8,278.79151099999996,289.41039900000015,0.6866785985221674,0.43529411764705883,1.0
runtime_load,down,15,85,427,427,5.023529411764706,3.5410616721311468,8,278.234281,287.89373299999994,0.6516025316159251,0.4117647058823529,1.0
runtime_load,down,22,85,449,449,5.2823529411764705,3.689108086859687,8,277.65838,287.3972190000002,0.6183928285077952,0.38823529411764707,1.0
runtime_load,up,28,85,422,422,4.964705882352941,3.3431618056872034,8,277.4160490000001,287.034463,0.6573840023696684,0.3058823529411765,1.0
runtime_load,up,30,85,403,403,4.741176470588235,3.258194498759306,8,276.392388,286.09216,0.6858371910669975,0.43529411764705883,1.0
