seq,expert_bytes,tensor_base,expert_idx,tensor
223,4030464,0x0,218,blk.11.ffn_up_exps.weight
224,4030464,0x0,242,blk.11.ffn_up_exps.weight
227,4030464,0x0,27,blk.11.ffn_gate_exps.weight
228,4030464,0x0,51,blk.11.ffn_gate_exps.weight
229,4030464,0x0,145,blk.11.ffn_gate_exps.weight
231,4030464,0x0,218,blk.11.ffn_gate_exps.weight
232,4030464,0x0,242,blk.11.ffn_gate_exps.weight
235,4816896,0x0,27,blk.11.ffn_down_exps.weight
236,4816896,0x0,51,blk.11.ffn_down_exps.weight
237,4816896,0x0,145,blk.11.ffn_down_exps.weight
239,4816896,0x0,218,blk.11.ffn_down_exps.weight
240,4816896,0x0,242,blk.11.ffn_down_exps.weight
241,4030464,0x0,24,blk.12.ffn_up_exps.weight
243,4030464,0x0,137,blk.12.ffn_up_exps.weight
246,4030464,0x0,181,blk.12.ffn_up_exps.weight
247,4030464,0x0,185,blk.12.ffn_up_exps.weight
248,4030464,0x0,217,blk.12.ffn_up_exps.weight
249,4030464,0x0,24,blk.12.ffn_gate_exps.weight
251,4030464,0x0,137,blk.12.ffn_gate_exps.weight
254,4030464,0x0,181,blk.12.ffn_gate_exps.weight
255,4030464,0x0,185,blk.12.ffn_gate_exps.weight
256,4030464,0x0,217,blk.12.ffn_gate_exps.weight
257,4816896,0x0,24,blk.12.ffn_down_exps.weight
259,4816896,0x0,137,blk.12.ffn_down_exps.weight
262,4816896,0x0,181,blk.12.ffn_down_exps.weight
263,4816896,0x0,185,blk.12.ffn_down_exps.weight
264,4816896,0x0,217,blk.12.ffn_down_exps.weight
266,4030464,0x0,93,blk.13.ffn_up_exps.weight
269,4030464,0x0,144,blk.13.ffn_up_exps.weight
270,4030464,0x0,180,blk.13.ffn_up_exps.weight
271,4030464,0x0,197,blk.13.ffn_up_exps.weight
272,4030464,0x0,255,blk.13.ffn_up_exps.weight
274,4030464,0x0,93,blk.13.ffn_gate_exps.weight
277,4030464,0x0,144,blk.13.ffn_gate_exps.weight
278,4030464,0x0,180,blk.13.ffn_gate_exps.weight
279,4030464,0x0,197,blk.13.ffn_gate_exps.weight
280,4030464,0x0,255,blk.13.ffn_gate_exps.weight
282,4816896,0x0,93,blk.13.ffn_down_exps.weight
285,4816896,0x0,144,blk.13.ffn_down_exps.weight
286,4816896,0x0,180,blk.13.ffn_down_exps.weight
287,4816896,0x0,197,blk.13.ffn_down_exps.weight
288,4816896,0x0,255,blk.13.ffn_down_exps.weight
289,4030464,0x0,51,blk.14.ffn_up_exps.weight
291,4030464,0x0,89,blk.14.ffn_up_exps.weight
292,4030464,0x0,154,blk.14.ffn_up_exps.weight
293,4030464,0x0,167,blk.14.ffn_up_exps.weight
