horizon,policy,budget,samples,actual,predicted,hits,recall,precision,pred_over_actual,full_step_pct
3,hidden_knn5_same_layer,8,525,4200,4200,1858,0.4423809523809524,0.4423809523809524,1.0,0.007619047619047619
3,hidden_knn5_target_layer,8,525,4200,4200,1858,0.4423809523809524,0.4423809523809524,1.0,0.007619047619047619
2,source_route_plus_static,16,528,4224,8448,1626,0.3849431818181818,0.1924715909090909,2.0,0.0
3,source_route_plus_static,16,525,4200,8400,1597,0.38023809523809526,0.19011904761904763,2.0,0.0019047619047619048
1,source_route_plus_static,16,531,4248,8496,1615,0.3801789077212806,0.1900894538606403,2.0,0.0
2,static_target_layer,8,528,4224,4224,1540,0.3645833333333333,0.3645833333333333,1.0,0.0
3,static_target_layer,8,525,4200,4200,1530,0.36428571428571427,0.36428571428571427,1.0,0.0
1,static_target_layer,8,531,4248,4248,1547,0.3641713747645951,0.3641713747645951,1.0,0.0
2,source_route_plus_static,8,528,4224,4224,85,0.02012310606060606,0.02012310606060606,1.0,0.0
1,source_route_plus_static,8,531,4248,4248,78,0.018361581920903956,0.018361581920903956,1.0,0.0
3,source_route_plus_static,8,525,4200,4200,73,0.017380952380952382,0.017380952380952382,1.0,0.0
