scope,prompt,top_k,kind,calls,predictable_call_ratio,actual_events,recall,precision,byte_recall,predicted_to_actual_byte_ratio
fold,dev_photosynthesis_factual,32,gate,5641,1.0,45128,0.21146516575075341,0.052866291437688354,0.2103541787373809,4.0
fold,dev_photosynthesis_factual,32,up,5641,1.0,45128,0.21146516575075341,0.052866291437688354,0.21201283886088815,4.0
fold,dev_python_reverse,32,all,16438,1.0,131504,0.13256630977004502,0.033141577442511255,0.1326549038704686,4.0
fold,dev_python_reverse,32,down,5036,1.0,40288,0.13227263701350278,0.033068159253375695,0.1344315455791638,4.0
fold,dev_python_reverse,32,gate,5701,1.0,45608,0.13269601824241362,0.033174004560603404,0.13108937730884737,4.0
fold,dev_python_reverse,32,up,5701,1.0,45608,0.13269601824241362,0.033174004560603404,0.13221948126044109,4.0
fold,dev_zh_france,32,all,8480,1.0,67840,0.3972582547169811,0.09931456367924528,0.3954697449138065,4.0
fold,dev_zh_france,32,down,2598,1.0,20784,0.395977675134719,0.09899441878367975,0.397567991284361,4.0
fold,dev_zh_france,32,gate,2941,1.0,23528,0.3978238694321659,0.09945596735804148,0.3941873900660156,4.0
fold,dev_zh_france,32,up,2941,1.0,23528,0.3978238694321659,0.09945596735804148,0.39434300035803793,4.0
aggregate,all,64,all,84445,1.0,675560,0.416953342412221,0.05211916780152762,0.41686345108679096,8.0
aggregate,all,64,down,25871,1.0,206968,0.4163783773336941,0.05204729716671176,0.41827272981982383,8.0
aggregate,all,64,gate,29287,1.0,234296,0.4172072933383412,0.05215091166729265,0.4154847943098666,8.0
aggregate,all,64,up,29287,1.0,234296,0.4172072933383412,0.05215091166729265,0.41666600083894295,8.0
fold,dev_france_regression,64,all,13324,1.0,106592,0.6129165415791054,0.07661456769738817,0.6128359500966807,8.0
fold,dev_france_regression,64,down,4082,1.0,32656,0.6155071043606075,0.07693838804507594,0.6164770084812407,8.0
fold,dev_france_regression,64,gate,4621,1.0,36968,0.6117723436485609,0.07647154295607012,0.6111488432876019,8.0
fold,dev_france_regression,64,up,4621,1.0,36968,0.6117723436485609,0.07647154295607012,0.6102989208869893,8.0
fold,dev_japan_factual,64,all,14708,1.0,117664,0.5425958661952679,0.06782448327440849,0.5429173988594581,8.0
fold,dev_japan_factual,64,down,4506,1.0,36048,0.5443852640923214,0.06804815801154017,0.5470666245356007,8.0
fold,dev_japan_factual,64,gate,5101,1.0,40808,0.5418055283277788,0.06772569104097236,0.5400699710186745,8.0
fold,dev_japan_factual,64,up,5101,1.0,40808,0.5418055283277788,0.06772569104097236,0.5410261526957783,8.0
fold,dev_linear_equation,64,all,5885,1.0,47080,0.31444350042480884,0.039305437553101105,0.31395175022990235,8.0
fold,dev_linear_equation,64,down,1803,1.0,14424,0.3083749306711037,0.038546866333887965,0.31068426997482507,8.0
fold,dev_linear_equation,64,gate,2041,1.0,16328,0.3171239588437041,0.03964049485546301,0.31407414870038286,8.0
fold,dev_linear_equation,64,up,2041,1.0,16328,0.3171239588437041,0.03964049485546301,0.3177328747492118,8.0
fold,dev_mixed_summary,64,all,9345,1.0,74760,0.35523006955591224,0.04440375869448903,0.3557778482420271,8.0
fold,dev_mixed_summary,64,down,2863,1.0,22904,0.355440097799511,0.04443001222493888,0.3561101097721971,8.0
fold,dev_mixed_summary,64,gate,3241,1.0,25928,0.35513730330145016,0.04439216291268127,0.3554231753006939,8.0
fold,dev_mixed_summary,64,up,3241,1.0,25928,0.35513730330145016,0.04439216291268127,0.35576332984368797,8.0
fold,dev_photosynthesis_factual,64,all,16265,1.0,130120,0.3424146941284968,0.0428018367660621,0.342607833139974,8.0
fold,dev_photosynthesis_factual,64,down,4983,1.0,39864,0.33967991169977924,0.042459988962472404,0.3417157611462652,8.0
fold,dev_photosynthesis_factual,64,gate,5641,1.0,45128,0.343622584648112,0.042952823081014,0.3418594143896983,8.0
fold,dev_photosynthesis_factual,64,up,5641,1.0,45128,0.343622584648112,0.042952823081014,0.3444854084997822,8.0
fold,dev_python_reverse,64,all,16438,1.0,131504,0.2372019102080545,0.029650238776006813,0.23722127568482432,8.0
fold,dev_python_reverse,64,down,5036,1.0,40288,0.23642275615567912,0.02955284451945989,0.23897232693625772,8.0
fold,dev_python_reverse,64,gate,5701,1.0,45608,0.23754604455358708,0.029693255569198385,0.2355157200946129,8.0
fold,dev_python_reverse,64,up,5701,1.0,45608,0.23754604455358708,0.029693255569198385,0.23696788970114396,8.0
fold,dev_zh_france,64,all,8480,1.0,67840,0.5216981132075472,0.0652122641509434,0.5197014166601956,8.0
fold,dev_zh_france,64,down,2598,1.0,20784,0.5195342571208622,0.06494178214010778,0.5210359453678238,8.0
