predictor,horizon,budget,bundle,samples,recall,precision,full_step_pct,pred_over_actual_bytes,predicted_gib_per_token,useful_gib_per_token,waste_gib_per_token
hybrid_prev,3,32,upgate,12369,0.5807,0.1452,0.0293,4.0000,17.2881,2.5029,14.7851
hybrid_prev,3,32,down,12369,0.5807,0.1452,0.0293,4.0000,11.6553,1.6937,9.9615
hybrid_prev,2,32,all,12586,0.5801,0.1450,0.0307,4.0000,29.4663,4.2673,25.1990
hybrid_prev,2,32,upgate,12586,0.5801,0.1450,0.0307,4.0000,17.6230,2.5481,15.0749
hybrid_prev,2,32,down,12586,0.5801,0.1450,0.0307,4.0000,11.8433,1.7192,10.1241
hybrid_cooc,4,32,all,12152,0.5667,0.1417,0.0313,4.0000,28.3760,4.0157,24.3603
hybrid_cooc,4,32,upgate,12152,0.5667,0.1417,0.0313,4.0000,16.9531,2.3945,14.5586
hybrid_cooc,4,32,down,12152,0.5667,0.1417,0.0313,4.0000,11.4229,1.6211,9.8017
hybrid_cooc,2,32,all,12586,0.5666,0.1416,0.0297,4.0000,29.4663,4.1681,25.2983
hybrid_cooc,2,32,upgate,12586,0.5666,0.1416,0.0297,4.0000,17.6230,2.4882,15.1348
hybrid_cooc,2,32,down,12586,0.5666,0.1416,0.0297,4.0000,11.8433,1.6798,10.1634
hybrid_cooc,3,32,all,12369,0.5665,0.1416,0.0289,4.0000,28.9434,4.0934,24.8500
hybrid_cooc,3,32,upgate,12369,0.5665,0.1416,0.0289,4.0000,17.2881,2.4405,14.8476
hybrid_cooc,3,32,down,12369,0.5665,0.1416,0.0289,4.0000,11.6553,1.6529,10.0024
hybrid_cooc,1,32,all,12803,0.5663,0.1416,0.0313,4.0000,29.9893,4.2400,25.7492
hybrid_cooc,1,32,upgate,12803,0.5663,0.1416,0.0313,4.0000,17.9580,2.5343,15.4237
hybrid_cooc,1,32,down,12803,0.5663,0.1416,0.0313,4.0000,12.0312,1.7058,10.3255
hybrid_recent,4,24,all,12152,0.5376,0.1792,0.0183,3.0000,21.2820,3.8097,17.4723
hybrid_recent,4,24,upgate,12152,0.5376,0.1792,0.0183,3.0000,12.7148,2.2737,10.4411
hybrid_recent,4,24,down,12152,0.5376,0.1792,0.0183,3.0000,8.5671,1.5360,7.0311
hybrid_balanced,4,24,all,12152,0.5368,0.1789,0.0173,3.0000,21.2820,3.8037,17.4783
hybrid_balanced,4,24,upgate,12152,0.5368,0.1789,0.0173,3.0000,12.7148,2.2694,10.4455
hybrid_balanced,4,24,down,12152,0.5368,0.1789,0.0173,3.0000,8.5671,1.5343,7.0328
hybrid_balanced,3,24,all,12369,0.5368,0.1789,0.0158,3.0000,21.7075,3.8778,17.8297
hybrid_balanced,3,24,upgate,12369,0.5368,0.1789,0.0158,3.0000,12.9661,2.3132,10.6529
hybrid_balanced,3,24,down,12369,0.5368,0.1789,0.0158,3.0000,8.7415,1.5646,7.1768
hybrid_prev,3,24,all,12369,0.5362,0.1787,0.0156,3.0000,21.7075,3.8740,17.8336
hybrid_prev,3,24,upgate,12369,0.5362,0.1787,0.0156,3.0000,12.9661,2.3109,10.6552
hybrid_prev,3,24,down,12369,0.5362,0.1787,0.0156,3.0000,8.7415,1.5631,7.1784
hybrid_recent,3,24,all,12369,0.5360,0.1787,0.0174,3.0000,21.7075,3.8725,17.8350
hybrid_recent,3,24,upgate,12369,0.5360,0.1787,0.0174,3.0000,12.9661,2.3108,10.6552
hybrid_recent,3,24,down,12369,0.5360,0.1787,0.0174,3.0000,8.7415,1.5617,7.1798
hybrid_balanced,2,24,all,12586,0.5360,0.1787,0.0168,3.0000,22.0997,3.9425,18.1573
hybrid_balanced,2,24,upgate,12586,0.5360,0.1787,0.0168,3.0000,13.2173,2.3544,10.8629
hybrid_balanced,2,24,down,12586,0.5360,0.1787,0.0168,3.0000,8.8824,1.5880,7.2944
hybrid_balanced,1,24,all,12803,0.5359,0.1786,0.0165,3.0000,22.4919,4.0124,18.4796
hybrid_balanced,1,24,upgate,12803,0.5359,0.1786,0.0165,3.0000,13.4685,2.3995,11.0690
hybrid_balanced,1,24,down,12803,0.5359,0.1786,0.0165,3.0000,9.0234,1.6128,7.4106
hybrid_prev,4,24,all,12152,0.5359,0.1786,0.0170,3.0000,21.2820,3.7973,17.4847
hybrid_prev,4,24,upgate,12152,0.5359,0.1786,0.0170,3.0000,12.7148,2.2655,10.4493
hybrid_prev,4,24,down,12152,0.5359,0.1786,0.0170,3.0000,8.5671,1.5317,7.0354
hybrid_recent,1,24,all,12803,0.5359,0.1786,0.0177,3.0000,22.4919,4.0117,18.4803
hybrid_recent,1,24,upgate,12803,0.5359,0.1786,0.0177,3.0000,13.4685,2.3995,11.0690
hybrid_recent,1,24,down,12803,0.5359,0.1786,0.0177,3.0000,9.0234,1.6121,7.4113
hybrid_recent,2,24,all,12586,0.5354,0.1785,0.0181,3.0000,22.0997,3.9375,18.1622
hybrid_recent,2,24,upgate,12586,0.5354,0.1785,0.0181,3.0000,13.2173,2.3520,10.8652
hybrid_recent,2,24,down,12586,0.5354,0.1785,0.0181,3.0000,8.8824,1.5855,7.2969
hybrid_prev,1,24,all,12803,0.5353,0.1784,0.0162,3.0000,22.4919,4.0078,18.4842
hybrid_prev,1,24,upgate,12803,0.5353,0.1784,0.0162,3.0000,13.4685,2.3968,11.0717
hybrid_prev,1,24,down,12803,0.5353,0.1784,0.0162,3.0000,9.0234,1.6110,7.4125
hybrid_prev,2,24,all,12586,0.5352,0.1784,0.0164,3.0000,22.0997,3.9370,18.1627
hybrid_prev,2,24,upgate,12586,0.5352,0.1784,0.0164,3.0000,13.2173,2.3512,10.8661
hybrid_prev,2,24,down,12586,0.5352,0.1784,0.0164,3.0000,8.8824,1.5858,7.2966
hybrid_cooc,2,24,all,12586,0.5238,0.1746,0.0151,3.0000,22.0997,3.8528,18.2470
hybrid_cooc,2,24,upgate,12586,0.5238,0.1746,0.0151,3.0000,13.2173,2.2999,10.9174
hybrid_cooc,2,24,down,12586,0.5238,0.1746,0.0151,3.0000,8.8824,1.5529,7.3296
hybrid_cooc,1,24,all,12803,0.5237,0.1746,0.0165,3.0000,22.4919,3.9206,18.5713
hybrid_cooc,1,24,upgate,12803,0.5237,0.1746,0.0165,3.0000,13.4685,2.3435,11.1250
hybrid_cooc,1,24,down,12803,0.5237,0.1746,0.0165,3.0000,9.0234,1.5771,7.4464
hybrid_cooc,4,24,all,12152,0.5234,0.1745,0.0163,3.0000,21.2820,3.7076,17.5744
hybrid_cooc,4,24,upgate,12152,0.5234,0.1745,0.0163,3.0000,12.7148,2.2109,10.5039
hybrid_cooc,4,24,down,12152,0.5234,0.1745,0.0163,3.0000,8.5671,1.4967,7.0704
