prompt,predictor,horizon,budget,bundle,samples,targets,predicted,hits,recall,precision,full_step_pct,pred_over_actual_bytes,target_gib,predicted_gib,useful_gib,waste_gib
dev_france_regression,hybrid_prev,1,12,all,1829,14632,21948,7485,0.5116,0.3410,0.0060,1.5000,232.4167,348.6251,118.6565,229.9686
dev_france_regression,hybrid_prev,1,12,upgate,1829,14632,21948,7485,0.5116,0.3410,0.0060,1.5000,139.1746,208.7618,71.1111,137.6508
dev_france_regression,hybrid_prev,1,12,down,1829,14632,21948,7485,0.5116,0.3410,0.0060,1.5000,93.2422,139.8633,47.5454,92.3178
dev_france_regression,hybrid_prev,1,16,all,1829,14632,29264,8381,0.5728,0.2864,0.0164,2.0000,232.4167,464.8335,132.8700,331.9635
dev_france_regression,hybrid_prev,1,16,upgate,1829,14632,29264,8381,0.5728,0.2864,0.0164,2.0000,139.1746,278.3491,79.6030,198.7461
dev_france_regression,hybrid_prev,1,16,down,1829,14632,29264,8381,0.5728,0.2864,0.0164,2.0000,93.2422,186.4844,53.2670,133.2174
dev_france_regression,hybrid_prev,1,24,all,1829,14632,43896,9362,0.6398,0.2133,0.0317,3.0000,232.4167,697.2502,148.4728,548.7774
dev_france_regression,hybrid_prev,1,24,upgate,1829,14632,43896,9362,0.6398,0.2133,0.0317,3.0000,139.1746,417.5237,88.9112,328.6125
dev_france_regression,hybrid_prev,1,24,down,1829,14632,43896,9362,0.6398,0.2133,0.0317,3.0000,93.2422,279.7266,59.5616,220.1649
dev_france_regression,hybrid_prev,1,32,all,1829,14632,58528,10102,0.6904,0.1726,0.0590,4.0000,232.4167,929.6670,160.2404,769.4266
dev_france_regression,hybrid_prev,1,32,upgate,1829,14632,58528,10102,0.6904,0.1726,0.0590,4.0000,139.1746,556.6982,95.9052,460.7930
dev_france_regression,hybrid_prev,1,32,down,1829,14632,58528,10102,0.6904,0.1726,0.0590,4.0000,93.2422,372.9688,64.3351,308.6336
dev_france_regression,hybrid_prev,1,48,all,1829,14632,87792,11010,0.7525,0.1254,0.1301,6.0000,232.4167,1394.5005,174.7439,1219.7566
dev_france_regression,hybrid_prev,1,48,upgate,1829,14632,87792,11010,0.7525,0.1254,0.1301,6.0000,139.1746,835.0474,104.5527,730.4947
dev_france_regression,hybrid_prev,1,48,down,1829,14632,87792,11010,0.7525,0.1254,0.1301,6.0000,93.2422,559.4531,70.1912,489.2619
dev_france_regression,hybrid_prev,1,64,all,1829,14632,117056,11614,0.7937,0.0992,0.1925,8.0000,232.4167,1859.3340,184.3860,1674.9480
dev_france_regression,hybrid_prev,1,64,upgate,1829,14632,117056,11614,0.7937,0.0992,0.1925,8.0000,139.1746,1113.3965,110.3000,1003.0965
dev_france_regression,hybrid_prev,1,64,down,1829,14632,117056,11614,0.7937,0.0992,0.1925,8.0000,93.2422,745.9375,74.0860,671.8515
dev_france_regression,global_hot,2,8,all,1798,14384,14384,3478,0.2418,0.2418,0.0000,1.0000,228.3639,228.3639,55.0869,173.2770
dev_france_regression,global_hot,2,8,upgate,1798,14384,14384,3478,0.2418,0.2418,0.0000,1.0000,136.5786,136.5786,32.9710,103.6076
dev_france_regression,global_hot,2,8,down,1798,14384,14384,3478,0.2418,0.2418,0.0000,1.0000,91.7853,91.7853,22.1159,69.6694
dev_france_regression,global_hot,2,12,all,1798,14384,21576,4474,0.3110,0.2074,0.0000,1.5000,228.3639,342.5458,70.8714,271.6745
dev_france_regression,global_hot,2,12,upgate,1798,14384,21576,4474,0.3110,0.2074,0.0000,1.5000,136.5786,204.8679,42.3935,162.4744
dev_france_regression,global_hot,2,12,down,1798,14384,21576,4474,0.3110,0.2074,0.0000,1.5000,91.7853,137.6779,28.4779,109.2000
dev_france_regression,global_hot,2,16,all,1798,14384,28768,5189,0.3607,0.1804,0.0000,2.0000,228.3639,456.7278,82.2741,374.4536
dev_france_regression,global_hot,2,16,upgate,1798,14384,28768,5189,0.3607,0.1804,0.0000,2.0000,136.5786,273.1572,49.1626,223.9947
dev_france_regression,global_hot,2,16,down,1798,14384,28768,5189,0.3607,0.1804,0.0000,2.0000,91.7853,183.5706,33.1116,150.4590
dev_france_regression,global_hot,2,24,all,1798,14384,43152,6132,0.4263,0.1421,0.0000,3.0000,228.3639,685.0917,97.2440,587.8477
