tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.0.ffn_down_exps.weight,74,1501977344,4456448,2048x4096x256,256,2.346000,11
blk.1.ffn_up_exps.weight,213,7969312000,4456448,4096x2048x256,256,2.344000,4
blk.13.ffn_down_exps.weight,4,47751194880,4456448,2048x4096x256,256,2.344000,6
blk.17.ffn_down_exps.weight,165,62798275840,4456448,2048x4096x256,256,2.341000,2
blk.16.ffn_up_exps.weight,204,61682040576,4456448,4096x2048x256,256,2.338000,2
blk.19.ffn_up_exps.weight,132,72097710848,4456448,4096x2048x256,256,2.332000,1
blk.20.ffn_down_exps.weight,107,73297656576,4456448,2048x4096x256,256,2.332000,2
blk.11.ffn_up_exps.weight,70,43162225408,4456448,4096x2048x256,256,2.331000,6
blk.0.ffn_down_exps.weight,254,2304137984,4456448,2048x4096x256,256,2.329000,2
blk.10.ffn_down_exps.weight,74,37326611712,4456448,2048x4096x256,256,2.328000,6
blk.17.ffn_up_exps.weight,71,64661071104,4456448,4096x2048x256,256,2.327000,4
blk.9.ffn_down_exps.weight,140,34027678976,4456448,2048x4096x256,256,2.324000,13
blk.0.ffn_down_exps.weight,68,1475238656,4456448,2048x4096x256,256,2.323000,1
blk.21.ffn_up_exps.weight,55,78919360768,4456448,4096x2048x256,256,2.319000,2
blk.1.ffn_down_exps.weight,133,5331094784,4456448,2048x4096x256,256,2.315000,5
blk.1.ffn_down_exps.weight,136,5344464128,4456448,2048x4096x256,256,2.315000,5
blk.39.ffn_up_exps.weight,155,143848173312,4456448,4096x2048x256,256,2.315000,6
blk.39.ffn_down_exps.weight,117,141397126912,4456448,2048x4096x256,256,2.314000,11
blk.0.ffn_down_exps.weight,81,1533172480,4456448,2048x4096x256,256,2.313000,3
blk.0.ffn_up_exps.weight,230,4478884608,4456448,4096x2048x256,256,2.306000,2
blk.8.ffn_up_exps.weight,228,33129809664,4456448,4096x2048x256,256,2.305000,1
blk.10.ffn_down_exps.weight,203,37901493504,4456448,2048x4096x256,256,2.303000,6
blk.4.ffn_up_exps.weight,68,18087185152,4456448,4096x2048x256,256,2.303000,1
blk.0.ffn_up_exps.weight,240,4523449088,4456448,4096x2048x256,256,2.300000,4
blk.26.ffn_up_exps.weight,58,96855381248,4456448,4096x2048x256,256,2.300000,2
blk.28.ffn_down_exps.weight,53,101716194048,4456448,2048x4096x256,256,2.300000,2
blk.32.ffn_down_exps.weight,52,116041330432,4456448,2048x4096x256,256,2.299000,11
blk.18.ffn_up_exps.weight,108,68419017984,4456448,4096x2048x256,256,2.297000,6
blk.26.ffn_down_exps.weight,109,94800958720,4456448,2048x4096x256,256,2.292000,1
blk.1.ffn_down_exps.weight,211,5678697728,4456448,2048x4096x256,256,2.290000,2
blk.1.ffn_down_exps.weight,195,5607394560,4456448,2048x4096x256,256,2.282000,5
blk.39.ffn_down_exps.weight,78,141223325440,4456448,2048x4096x256,256,2.282000,2
blk.1.ffn_up_exps.weight,60,7287475456,4456448,4096x2048x256,256,2.277000,1
blk.1.ffn_up_exps.weight,84,7394430208,4456448,4096x2048x256,256,2.277000,1
blk.36.ffn_up_exps.weight,83,132790774528,4456448,4096x2048x256,256,2.276000,5
blk.28.ffn_down_exps.weight,219,102455964416,4456448,2048x4096x256,256,2.274000,9
