tensor,expert,model_offset,nbytes,shape,n_expert,residual_ms,touches
blk.4.ffn_down_exps.weight,233,16540797696,4456448,2048x4096x256,256,5.322000,59
blk.31.ffn_down_exps.weight,10,112261101312,4456448,2048x4096x256,256,5.296000,58
blk.32.ffn_up_exps.weight,34,118242815744,4456448,4096x2048x256,256,5.288000,58
blk.4.ffn_up_exps.weight,233,18822499072,4456448,4096x2048x256,256,5.269000,59
blk.11.ffn_up_exps.weight,164,43581131520,4456448,4096x2048x256,256,5.235000,52
blk.28.ffn_down_exps.weight,252,102603027200,4456448,2048x4096x256,256,5.224000,56
blk.28.ffn_up_exps.weight,252,104884728576,4456448,4096x2048x256,256,5.207000,56
blk.20.ffn_down_exps.weight,112,73319938816,4456448,2048x4096x256,256,5.176000,60
blk.20.ffn_up_exps.weight,112,75601640192,4456448,4096x2048x256,256,5.096000,60
blk.11.ffn_down_exps.weight,164,41299430144,4456448,2048x4096x256,256,5.060000,52
blk.8.ffn_down_exps.weight,11,29881059072,4456448,2048x4096x256,256,4.935000,53
blk.35.ffn_up_exps.weight,104,129291301632,4456448,4096x2048x256,256,4.925000,54
blk.8.ffn_down_exps.weight,223,30825826048,4456448,2048x4096x256,256,4.883000,53
blk.8.ffn_up_exps.weight,11,32162760448,4456448,4096x2048x256,256,4.820000,53
blk.35.ffn_down_exps.weight,104,127009600256,4456448,2048x4096x256,256,4.816000,54
blk.34.ffn_up_exps.weight,88,125648260352,4456448,4096x2048x256,256,4.780000,55
blk.7.ffn_down_exps.weight,191,27090161408,4456448,2048x4096x256,256,4.746000,53
blk.38.ffn_up_exps.weight,89,139982309632,4456448,4096x2048x256,256,4.740000,48
blk.38.ffn_down_exps.weight,89,137700608256,4456448,2048x4096x256,256,4.692000,48
blk.11.ffn_up_exps.weight,232,43884169984,4456448,4096x2048x256,256,4.678000,48
blk.8.ffn_up_exps.weight,223,33107527424,4456448,4096x2048x256,256,4.678000,53
blk.15.ffn_up_exps.weight,249,58289522432,4456448,4096x2048x256,256,4.631000,53
blk.7.ffn_up_exps.weight,191,29371862784,4456448,4096x2048x256,256,4.613000,53
blk.34.ffn_down_exps.weight,88,123366558976,4456448,2048x4096x256,256,4.597000,55
blk.11.ffn_down_exps.weight,232,41602468608,4456448,2048x4096x256,256,4.557000,48
blk.15.ffn_down_exps.weight,249,56007821056,4456448,2048x4096x256,256,4.444000,53
blk.38.ffn_up_exps.weight,221,140570560768,4456448,4096x2048x256,256,4.403000,50
blk.38.ffn_down_exps.weight,221,138288859392,4456448,2048x4096x256,256,4.337000,50
blk.28.ffn_down_exps.weight,142,102112817920,4456448,2048x4096x256,256,4.300000,49
blk.28.ffn_up_exps.weight,142,104394519296,4456448,4096x2048x256,256,4.249000,49
blk.37.ffn_down_exps.weight,164,134441783552,4456448,2048x4096x256,256,4.118000,50
blk.7.ffn_down_exps.weight,140,26862882560,4456448,2048x4096x256,256,4.071000,45
blk.19.ffn_down_exps.weight,181,70034375424,4456448,2048x4096x256,256,4.057000,44
blk.37.ffn_up_exps.weight,164,136723484928,4456448,4096x2048x256,256,4.050000,50
blk.19.ffn_up_exps.weight,181,72316076800,4456448,4096x2048x256,256,3.952000,44
blk.9.ffn_down_exps.weight,69,33711271168,4456448,2048x4096x256,256,3.949000,45
blk.9.ffn_up_exps.weight,69,35992972544,4456448,4096x2048x256,256,3.930000,45
blk.17.ffn_up_exps.weight,61,64616506624,4456448,4096x2048x256,256,3.916000,39
blk.11.ffn_up_exps.weight,103,43309288192,4456448,4096x2048x256,256,3.908000,42
blk.7.ffn_up_exps.weight,140,29144583936,4456448,4096x2048x256,256,3.906000,45
blk.11.ffn_down_exps.weight,103,41027586816,4456448,2048x4096x256,256,3.879000,42
blk.34.ffn_up_exps.weight,239,126321184000,4456448,4096x2048x256,256,3.813000,38
blk.19.ffn_down_exps.weight,96,69655577344,4456448,2048x4096x256,256,3.735000,42
blk.18.ffn_up_exps.weight,163,68664122624,4456448,4096x2048x256,256,3.717000,38
blk.34.ffn_down_exps.weight,239,124039482624,4456448,2048x4096x256,256,3.709000,38
blk.17.ffn_down_exps.weight,61,62334805248,4456448,2048x4096x256,256,3.708000,39
blk.34.ffn_up_exps.weight,254,126388030720,4456448,4096x2048x256,256,3.670000,40
blk.12.ffn_up_exps.weight,149,47107343104,4456448,4096x2048x256,256,3.654000,40
blk.25.ffn_up_exps.weight,61,93275692288,4456448,4096x2048x256,256,3.615000,38
blk.31.ffn_up_exps.weight,19,114582910720,4456448,4096x2048x256,256,3.565000,41
blk.29.ffn_up_exps.weight,33,107480504576,4456448,4096x2048x256,256,3.563000,40
blk.29.ffn_down_exps.weight,33,105198803200,4456448,2048x4096x256,256,3.558000,40
blk.32.ffn_down_exps.weight,205,116723166976,4456448,2048x4096x256,256,3.558000,37
blk.31.ffn_down_exps.weight,19,112301209344,4456448,2048x4096x256,256,3.545000,41
blk.25.ffn_down_exps.weight,61,90993990912,4456448,2048x4096x256,256,3.530000,38
blk.38.ffn_up_exps.weight,187,140419041536,4456448,4096x2048x256,256,3.526000,38
blk.34.ffn_down_exps.weight,254,124106329344,4456448,2048x4096x256,256,3.522000,40
blk.19.ffn_up_exps.weight,96,71937278720,4456448,4096x2048x256,256,3.516000,42
blk.38.ffn_up_exps.weight,151,140258609408,4456448,4096x2048x256,256,3.459000,40
blk.15.ffn_up_exps.weight,175,57959745280,4456448,4096x2048x256,256,3.452000,36
blk.14.ffn_up_exps.weight,181,54414745856,4456448,4096x2048x256,256,3.445000,37
blk.11.ffn_up_exps.weight,81,43211246336,4456448,4096x2048x256,256,3.443000,37
blk.18.ffn_down_exps.weight,163,66382421248,4456448,2048x4096x256,256,3.426000,38
blk.32.ffn_up_exps.weight,205,119004868352,4456448,4096x2048x256,256,3.396000,37
blk.14.ffn_down_exps.weight,181,52133044480,4456448,2048x4096x256,256,3.371000,37
blk.12.ffn_down_exps.weight,149,44825641728,4456448,2048x4096x256,256,3.355000,40
blk.38.ffn_down_exps.weight,151,137976908032,4456448,2048x4096x256,256,3.341000,40
blk.31.ffn_down_exps.weight,244,113303910144,4456448,2048x4096x256,256,3.317000,35
blk.8.ffn_down_exps.weight,173,30603003648,4456448,2048x4096x256,256,3.311000,35
blk.31.ffn_up_exps.weight,244,115585611520,4456448,4096x2048x256,256,3.291000,35
blk.11.ffn_down_exps.weight,81,40929544960,4456448,2048x4096x256,256,3.290000,37
blk.14.ffn_down_exps.weight,126,51887939840,4456448,2048x4096x256,256,3.284000,35
blk.23.ffn_up_exps.weight,222,86828384000,4456448,4096x2048x256,256,3.271000,33
blk.38.ffn_down_exps.weight,187,138137340160,4456448,2048x4096x256,256,3.257000,38
blk.14.ffn_up_exps.weight,208,54535069952,4456448,4096x2048x256,256,3.250000,37
blk.14.ffn_up_exps.weight,126,54169641216,4456448,4096x2048x256,256,3.249000,35
blk.6.ffn_down_exps.weight,42,22854412544,4456448,2048x4096x256,256,3.226000,35
blk.15.ffn_down_exps.weight,175,55678043904,4456448,2048x4096x256,256,3.220000,36
blk.8.ffn_up_exps.weight,173,32884705024,4456448,4096x2048x256,256,3.159000,35
blk.14.ffn_down_exps.weight,208,52253368576,4456448,2048x4096x256,256,3.148000,37
blk.6.ffn_up_exps.weight,42,25136113920,4456448,4096x2048x256,256,3.136000,35
blk.23.ffn_down_exps.weight,222,84546682624,4456448,2048x4096x256,256,3.108000,33
