rank,pair_key,layer,expert,role,tensor,model_offset,nbytes,shape,n_expert,hot_ms,calls,fused_calls
40,blk.8.expert.200,8,200,down,blk.8.ffn_down_exps.weight,30723327744,4456448,2048x4096x256,256,5.497000,63,63
41,blk.31.expert.92,31,92,up,blk.31.ffn_up_exps.weight,114908231424,4456448,4096x2048x256,256,5.563000,69,69
41,blk.31.expert.92,31,92,down,blk.31.ffn_down_exps.weight,112626530048,4456448,2048x4096x256,256,5.569000,69,69
42,blk.15.expert.104,15,104,up,blk.15.ffn_up_exps.weight,57643337472,4456448,4096x2048x256,256,5.546000,62,62
42,blk.15.expert.104,15,104,down,blk.15.ffn_down_exps.weight,55361636096,4456448,2048x4096x256,256,5.446000,62,62
43,blk.20.expert.60,20,60,up,blk.20.ffn_up_exps.weight,75369904896,4456448,4096x2048x256,256,5.378000,69,69
43,blk.20.expert.60,20,60,down,blk.20.ffn_down_exps.weight,73088203520,4456448,2048x4096x256,256,5.299000,69,69
44,blk.16.expert.96,16,96,up,blk.16.ffn_up_exps.weight,61200744192,4456448,4096x2048x256,256,5.512000,63,63
44,blk.16.expert.96,16,96,down,blk.16.ffn_down_exps.weight,58919042816,4456448,2048x4096x256,256,5.151000,63,63
45,blk.18.expert.79,18,79,up,blk.18.ffn_up_exps.weight,68289780992,4456448,4096x2048x256,256,5.355000,66,66
45,blk.18.expert.79,18,79,down,blk.18.ffn_down_exps.weight,66008079616,4456448,2048x4096x256,256,5.269000,66,66
46,blk.26.expert.203,26,203,up,blk.26.ffn_up_exps.weight,97501566208,4456448,4096x2048x256,256,5.479000,67,67
46,blk.26.expert.203,26,203,down,blk.26.ffn_down_exps.weight,95219864832,4456448,2048x4096x256,256,5.089000,67,67
47,blk.16.expert.21,16,21,up,blk.16.ffn_up_exps.weight,60866510592,4456448,4096x2048x256,256,5.268000,59,59
47,blk.16.expert.21,16,21,down,blk.16.ffn_down_exps.weight,58584809216,4456448,2048x4096x256,256,4.896000,59,59
48,blk.16.expert.240,16,240,up,blk.16.ffn_up_exps.weight,61842472704,4456448,4096x2048x256,256,5.151000,58,58
48,blk.16.expert.240,16,240,down,blk.16.ffn_down_exps.weight,59560771328,4456448,2048x4096x256,256,4.946000,58,58
49,blk.14.expert.62,14,62,up,blk.14.ffn_up_exps.weight,53884428544,4456448,4096x2048x256,256,4.983000,56,56
49,blk.14.expert.62,14,62,down,blk.14.ffn_down_exps.weight,51602727168,4456448,2048x4096x256,256,5.011000,56,56
50,blk.16.expert.176,16,176,up,blk.16.ffn_up_exps.weight,61557260032,4456448,4096x2048x256,256,5.176000,58,58
50,blk.16.expert.176,16,176,down,blk.16.ffn_down_exps.weight,59275558656,4456448,2048x4096x256,256,4.692000,58,58
51,blk.31.expert.10,31,10,up,blk.31.ffn_up_exps.weight,114542802688,4456448,4096x2048x256,256,4.943000,58,58
51,blk.31.expert.10,31,10,down,blk.31.ffn_down_exps.weight,112261101312,4456448,2048x4096x256,256,4.813000,58,58
52,blk.30.expert.204,30,204,up,blk.30.ffn_up_exps.weight,111835615488,4456448,4096x2048x256,256,5.033000,59,59
52,blk.30.expert.204,30,204,down,blk.30.ffn_down_exps.weight,109553914112,4456448,2048x4096x256,256,4.645000,59,59
53,blk.4.expert.233,4,233,up,blk.4.ffn_up_exps.weight,18822499072,4456448,4096x2048x256,256,4.663000,59,59
53,blk.4.expert.233,4,233,down,blk.4.ffn_down_exps.weight,16540797696,4456448,2048x4096x256,256,4.789000,59,59
54,blk.32.expert.34,32,34,up,blk.32.ffn_up_exps.weight,118242815744,4456448,4096x2048x256,256,4.821000,58,58
54,blk.32.expert.34,32,34,down,blk.32.ffn_down_exps.weight,115961114368,4456448,2048x4096x256,256,4.624000,58,58
55,blk.35.expert.104,35,104,up,blk.35.ffn_up_exps.weight,129291301632,4456448,4096x2048x256,256,4.822000,54,54
55,blk.35.expert.104,35,104,down,blk.35.ffn_down_exps.weight,127009600256,4456448,2048x4096x256,256,4.609000,54,54
