tensor	expert	fallback_ms	calls	expert_bytes
blk.7.ffn_down_exps.weight	140	15.346	45	4456448
blk.32.ffn_down_exps.weight	34	15.254	58	4456448
blk.20.ffn_down_exps.weight	219	15.251	24	4456448
blk.4.ffn_down_exps.weight	8	15.225	21	4456448
blk.25.ffn_up_exps.weight	199	15.220	19	4456448
blk.10.ffn_down_exps.weight	193	15.149	18	4456448
blk.21.ffn_up_exps.weight	173	15.134	23	4456448
blk.28.ffn_down_exps.weight	252	15.085	56	4456448
blk.16.ffn_up_exps.weight	21	15.028	59	4456448
blk.19.ffn_up_exps.weight	228	15.019	21	4456448
blk.18.ffn_down_exps.weight	163	14.982	38	4456448
blk.3.ffn_down_exps.weight	149	14.957	32	4456448
blk.20.ffn_up_exps.weight	112	14.836	60	4456448
blk.15.ffn_up_exps.weight	24	14.793	33	4456448
blk.31.ffn_up_exps.weight	187	14.772	18	4456448
blk.21.ffn_down_exps.weight	9	14.721	17	4456448
blk.3.ffn_up_exps.weight	116	14.675	13	4456448
blk.11.ffn_up_exps.weight	232	14.666	48	4456448
blk.31.ffn_up_exps.weight	180	14.571	21	4456448
blk.33.ffn_up_exps.weight	58	14.473	19	4456448
blk.0.ffn_down_exps.weight	50	14.360	13	4456448
blk.21.ffn_up_exps.weight	94	14.271	24	4456448
blk.2.ffn_up_exps.weight	170	14.268	5	4456448
blk.6.ffn_up_exps.weight	42	14.190	35	4456448
blk.29.ffn_up_exps.weight	244	14.167	8	4456448
blk.21.ffn_up_exps.weight	203	14.125	17	4456448
blk.26.ffn_down_exps.weight	203	14.072	67	4456448
blk.12.ffn_up_exps.weight	149	14.068	40	4456448
blk.5.ffn_up_exps.weight	203	14.040	21	4456448
blk.4.ffn_down_exps.weight	46	14.027	18	4456448
blk.1.ffn_up_exps.weight	116	13.967	5	4456448
blk.5.ffn_down_exps.weight	141	13.967	16	4456448
blk.18.ffn_up_exps.weight	233	13.964	5	4456448
blk.6.ffn_up_exps.weight	73	13.935	14	4456448
blk.38.ffn_down_exps.weight	89	13.848	48	4456448
blk.4.ffn_down_exps.weight	190	13.740	8	4456448
