layer,kind,events,traffic_gib,unique_keys,prompt_count,proxy_hot_keys,proxy_hit_traffic_pct,next64_gain_gib,next64_gain_per_slot_mib,next64_avg_prompt_coverage,remove64_cost_gib,remove64_cost_per_slot_mib,remove64_avg_prompt_coverage
43,down,3904,22.9345703125,331,7,11,25.973360655737704,8.81195068359375,140.9912109375,4.109375,5.956878662109375,554.53125,3.5454545454545454
43,upgate,7808,37.529296875,662,7,26,28.316256830601095,8.566497802734375,137.06396484375,4.359375,10.62689208984375,418.5360576923077,3.769230769230769
44,down,3904,22.9345703125,336,7,13,26.460040983606557,8.054122924804688,128.865966796875,4.0,6.0684967041015625,478.0108173076923,4.384615384615385
44,upgate,7808,37.529296875,672,7,27,27.045765027322403,8.181549072265625,130.90478515625,4.265625,10.15008544921875,384.9513888888889,4.2592592592592595
45,down,3904,22.9345703125,332,7,10,26.10143442622951,8.71795654296875,139.4873046875,4.265625,5.9862518310546875,612.9921875,3.5
45,upgate,7808,37.529296875,664,7,22,27.349726775956285,8.95037841796875,143.2060546875,4.3125,10.26416015625,477.75,3.727272727272727
46,down,3904,22.9345703125,331,7,14,29.380122950819672,8.3184814453125,133.095703125,4.375,6.7382049560546875,492.8515625,3.857142857142857
46,upgate,7808,37.529296875,662,7,29,29.98690801457195,8.456268310546875,135.30029296875,4.296875,11.253875732421875,397.3782327586207,3.8620689655172415
47,down,3904,22.9345703125,335,7,9,21.618852459016395,9.082183837890625,145.31494140625,4.015625,4.95819091796875,564.1319444444445,4.333333333333333
47,upgate,7808,37.529296875,670,7,23,24.561418488160292,8.906692504882812,142.507080078125,3.9375,9.217727661132812,410.3892663043478,4.3478260869565215
48,down,3904,22.9345703125,338,7,12,25.537909836065573,8.2244873046875,131.591796875,4.265625,5.8570098876953125,499.7981770833333,4.0
48,upgate,7808,37.529296875,676,7,27,27.26719034608379,7.9857635498046875,127.772216796875,4.546875,10.233184814453125,388.10300925925924,3.962962962962963
49,down,3904,22.9345703125,345,7,11,23.591188524590162,8.629837036132812,138.077392578125,4.453125,5.4105377197265625,503.671875,3.6363636363636362
49,upgate,7808,37.529296875,690,7,25,25.250739981785063,8.670318603515625,138.72509765625,4.484375,9.476425170898438,388.154375,3.6
50,down,3904,22.9345703125,338,7,15,27.587090163934427,8.400726318359375,134.41162109375,4.203125,6.3269805908203125,431.921875,4.866666666666666
50,upgate,7808,37.529296875,676,7,33,29.267702641165755,8.324569702148438,133.193115234375,4.328125,10.983963012695312,340.83570075757575,4.696969696969697
51,down,3904,22.9345703125,337,7,10,19.262295081967213,9.041061401367188,144.656982421875,4.4375,4.417724609375,452.375,4.8
51,upgate,7808,37.529296875,674,7,23,20.984744990892533,8.935638427734375,142.97021484375,4.5625,7.87542724609375,350.6277173913044,4.6521739130434785
52,down,3904,22.9345703125,341,7,11,22.5922131147541,8.888320922851562,142.213134765625,4.265625,5.181427001953125,482.34375,4.545454545454546
52,upgate,7808,37.529296875,682,7,27,25.492941712204008,8.37359619140625,133.9775390625,4.3125,9.56732177734375,362.849537037037,4.481481481481482
53,down,3904,22.9345703125,356,7,10,18.05840163934426,8.541717529296875,136.66748046875,4.234375,4.1416168212890625,424.1015625,4.8
53,upgate,7808,37.529296875,712,7,26,21.475125227686704,7.8308868408203125,125.294189453125,4.390625,8.059463500976562,317.4188701923077,4.846153846153846
54,down,3904,22.9345703125,345,7,15,28.227459016393443,7.977752685546875,127.64404296875,4.15625,6.473846435546875,441.9479166666667,4.466666666666667
54,upgate,7808,37.529296875,690,7,32,29.398907103825138,7.7747039794921875,124.395263671875,4.46875,11.033203125,353.0625,4.46875
55,down,3904,22.9345703125,349,7,12,20.210040983606557,9.082183837890625,145.31494140625,4.140625,4.6350860595703125,395.52734375,4.416666666666667
55,upgate,7808,37.529296875,698,7,29,23.194444444444443,8.950912475585938,143.214599609375,4.46875,8.7047119140625,307.3663793103448,4.551724137931035
56,down,3904,22.9345703125,344,7,8,20.389344262295083,9.387664794921875,150.20263671875,4.359375,4.67620849609375,598.5546875,5.125
56,upgate,7808,40.865234375,688,7,24,24.743852459016395,9.577789306640625,153.24462890625,4.5625,10.11163330078125,431.4296875,5.0
57,down,3904,28.35546875,340,7,22,32.658811475409834,9.3985595703125,150.376953125,4.34375,9.26055908203125,431.0369318181818,4.954545454545454
57,upgate,7808,40.865234375,680,7,42,31.68545081967213,8.7508544921875,140.013671875,4.59375,12.948333740234375,315.6927083333333,4.9523809523809526
58,down,3904,28.35546875,345,7,17,24.2827868852459,9.5438232421875,152.701171875,4.234375,6.885498046875,414.75,4.823529411764706
58,upgate,7808,40.865234375,690,7,29,21.8109631147541,9.033477783203125,144.53564453125,4.5625,8.913101196289062,314.7246767241379,4.862068965517241
59,down,3904,22.9345703125,356,7,10,20.33811475409836,8.43597412109375,134.9755859375,4.65625,4.664459228515625,477.640625,4.5
59,upgate,7808,40.865234375,712,7,30,25.79405737704918,8.091400146484375,129.46240234375,4.875,10.540802001953125,359.79270833333334,4.333333333333333
60,down,3960,23.2635498046875,352,7,9,16.994949494949495,8.829574584960938,141.273193359375,4.953125,3.9536285400390625,449.83506944444446,4.555555555555555
60,upgate,7920,41.451416015625,704,7,20,18.13131313131313,9.305633544921875,148.89013671875,5.0625,7.51568603515625,384.803125,4.7
