layer,kind,top_k,calls,actual_events,actual_gib,byte_recall,precision,predicted_to_actual_byte_ratio,false_to_actual_byte_ratio,extra_to_actual_byte_ratio
22,upgate,8,976,7808,34.193359375,0.11244877049180328,0.11244877049180328,1.0,0.8875512295081968,0.0
22,upgate,10,976,7808,34.193359375,0.14984631147540983,0.11987704918032786,1.25,1.1001536885245902,0.25
22,upgate,12,976,7808,34.193359375,0.16726434426229508,0.11150956284153006,1.5,1.332735655737705,0.5
22,upgate,16,976,7808,34.193359375,0.1864754098360656,0.0932377049180328,2.0,1.8135245901639345,1.0
23,down,8,488,3904,28.35546875,0.18032786885245902,0.18032786885245902,1.0,0.819672131147541,0.0
23,down,10,488,3904,28.35546875,0.2036372950819672,0.16290983606557377,1.25,1.0463627049180328,0.25
23,down,12,488,3904,28.35546875,0.2382172131147541,0.15881147540983606,1.5,1.2617827868852458,0.5
23,down,16,488,3904,28.35546875,0.2671618852459016,0.1335809426229508,2.0,1.7328381147540983,1.0
23,upgate,8,976,7808,34.193359375,0.18032786885245902,0.18032786885245902,1.0,0.819672131147541,0.0
23,upgate,10,976,7808,34.193359375,0.2036372950819672,0.16290983606557377,1.25,1.0463627049180328,0.25
23,upgate,12,976,7808,34.193359375,0.2382172131147541,0.15881147540983606,1.5,1.2617827868852458,0.5
23,upgate,16,976,7808,34.193359375,0.2671618852459016,0.1335809426229508,2.0,1.7328381147540983,1.0
24,down,8,488,3904,28.35546875,0.1096311475409836,0.1096311475409836,1.0,0.8903688524590164,0.0
24,down,10,488,3904,28.35546875,0.14549180327868852,0.11639344262295082,1.25,1.1045081967213115,0.25
24,down,12,488,3904,28.35546875,0.1559938524590164,0.10399590163934426,1.5,1.3440061475409837,0.5
24,down,16,488,3904,28.35546875,0.18417008196721313,0.09208504098360656,2.0,1.8158299180327868,1.0
24,upgate,8,976,7808,34.193359375,0.1096311475409836,0.1096311475409836,1.0,0.8903688524590164,0.0
24,upgate,10,976,7808,34.193359375,0.14549180327868852,0.11639344262295082,1.25,1.1045081967213115,0.25
24,upgate,12,976,7808,34.193359375,0.1559938524590164,0.10399590163934426,1.5,1.3440061475409837,0.5
24,upgate,16,976,7808,34.193359375,0.18417008196721313,0.09208504098360656,2.0,1.8158299180327868,1.0
25,down,8,488,3904,28.35546875,0.10476434426229508,0.10476434426229508,1.0,0.8952356557377049,0.0
25,down,10,488,3904,28.35546875,0.12371926229508197,0.09897540983606558,1.25,1.126280737704918,0.25
25,down,12,488,3904,28.35546875,0.1442110655737705,0.09614071038251366,1.5,1.3557889344262295,0.5
25,down,16,488,3904,28.35546875,0.171875,0.0859375,2.0,1.828125,1.0
25,upgate,8,976,7808,34.193359375,0.10476434426229508,0.10476434426229508,1.0,0.8952356557377049,0.0
25,upgate,10,976,7808,34.193359375,0.12371926229508197,0.09897540983606558,1.25,1.126280737704918,0.25
25,upgate,12,976,7808,34.193359375,0.1442110655737705,0.09614071038251366,1.5,1.3557889344262295,0.5
25,upgate,16,976,7808,34.193359375,0.171875,0.0859375,2.0,1.828125,1.0
26,down,8,488,3904,28.35546875,0.16316598360655737,0.16316598360655737,1.0,0.8368340163934426,0.0
26,down,10,488,3904,28.35546875,0.19262295081967212,0.1540983606557377,1.25,1.0573770491803278,0.25
26,down,12,488,3904,28.35546875,0.21721311475409835,0.1448087431693989,1.5,1.2827868852459017,0.5
26,down,16,488,3904,28.35546875,0.25614754098360654,0.12807377049180327,2.0,1.7438524590163935,1.0
26,upgate,8,976,7808,34.193359375,0.16316598360655737,0.16316598360655737,1.0,0.8368340163934426,0.0
26,upgate,10,976,7808,34.193359375,0.19262295081967212,0.1540983606557377,1.25,1.0573770491803278,0.25
26,upgate,12,976,7808,34.193359375,0.21721311475409835,0.1448087431693989,1.5,1.2827868852459017,0.5
26,upgate,16,976,7808,34.193359375,0.25614754098360654,0.12807377049180327,2.0,1.7438524590163935,1.0
27,down,8,488,3904,22.9345703125,0.2021004098360656,0.2021004098360656,1.0,0.7978995901639344,0.0
27,down,10,488,3904,22.9345703125,0.22054303278688525,0.1764344262295082,1.25,1.0294569672131149,0.25
27,down,12,488,3904,22.9345703125,0.2302766393442623,0.15351775956284153,1.5,1.2697233606557377,0.5
27,down,16,488,3904,22.9345703125,0.25179303278688525,0.12589651639344263,2.0,1.7482069672131149,1.0
27,upgate,8,976,7808,34.193359375,0.2021004098360656,0.2021004098360656,1.0,0.7978995901639344,0.0
27,upgate,10,976,7808,34.193359375,0.22054303278688525,0.1764344262295082,1.25,1.0294569672131149,0.25
27,upgate,12,976,7808,34.193359375,0.2302766393442623,0.15351775956284153,1.5,1.2697233606557377,0.5
