predictor,horizon,budget,bundle,samples,recall,precision,full_step_pct,pred_over_actual_bytes,predicted_gib_per_token,useful_gib_per_token,waste_gib_per_token
global_hot,1,32,all,10620,0.2148,0.0537,0.0000,4.0000,87.0656,4.6749,82.3907
global_hot,1,32,upgate,10620,0.2148,0.0537,0.0000,4.0000,52.1362,2.7729,49.3633
global_hot,1,32,down,10620,0.2148,0.0537,0.0000,4.0000,34.9294,1.9021,33.0274
cooc,2,16,all,10440,0.1884,0.0942,0.0001,2.0000,42.7737,4.0304,38.7433
cooc,2,16,upgate,10440,0.1884,0.0942,0.0001,2.0000,25.5818,2.3882,23.1937
cooc,2,16,down,10440,0.1884,0.0942,0.0001,2.0000,17.1918,1.6422,15.5497
cooc,3,16,all,10260,0.1874,0.0937,0.0002,2.0000,42.0146,3.9393,38.0753
cooc,3,16,upgate,10260,0.1874,0.0937,0.0002,2.0000,25.0956,2.3290,22.7666
cooc,3,16,down,10260,0.1874,0.0937,0.0002,2.0000,16.9189,1.6103,15.3087
cooc,1,16,all,10620,0.1870,0.0935,0.0000,2.0000,43.5328,4.0733,39.4595
cooc,1,16,upgate,10620,0.1870,0.0935,0.0000,2.0000,26.0681,2.4182,23.6499
cooc,1,16,down,10620,0.1870,0.0935,0.0000,2.0000,17.4647,1.6551,15.8096
global_hot,3,16,all,10260,0.1379,0.0690,0.0000,2.0000,42.0146,2.9002,39.1143
global_hot,3,16,upgate,10260,0.1379,0.0690,0.0000,2.0000,25.0956,1.7115,23.3841
global_hot,3,16,down,10260,0.1379,0.0690,0.0000,2.0000,16.9189,1.1887,15.7302
global_hot,2,16,all,10440,0.1376,0.0688,0.0000,2.0000,42.7737,2.9458,39.8278
global_hot,2,16,upgate,10440,0.1376,0.0688,0.0000,2.0000,25.5818,1.7407,23.8411
global_hot,2,16,down,10440,0.1376,0.0688,0.0000,2.0000,17.1918,1.2051,15.9867
global_hot,1,16,all,10620,0.1367,0.0683,0.0000,2.0000,43.5328,2.9780,40.5548
global_hot,1,16,upgate,10620,0.1367,0.0683,0.0000,2.0000,26.0681,1.7613,24.3068
global_hot,1,16,down,10620,0.1367,0.0683,0.0000,2.0000,17.4647,1.2167,16.2481
cooc,2,8,all,10440,0.1222,0.1222,0.0000,1.0000,21.3868,2.6169,18.7699
cooc,2,8,upgate,10440,0.1222,0.1222,0.0000,1.0000,12.7909,1.5472,11.2437
cooc,2,8,down,10440,0.1222,0.1222,0.0000,1.0000,8.5959,1.0697,7.5262
cooc,3,8,all,10260,0.1218,0.1218,0.0000,1.0000,21.0073,2.5635,18.4438
cooc,3,8,upgate,10260,0.1218,0.1218,0.0000,1.0000,12.5478,1.5111,11.0367
cooc,3,8,down,10260,0.1218,0.1218,0.0000,1.0000,8.4595,1.0524,7.4071
cooc,1,8,all,10620,0.1215,0.1215,0.0000,1.0000,21.7664,2.6509,19.1155
cooc,1,8,upgate,10620,0.1215,0.1215,0.0000,1.0000,13.0340,1.5695,11.4646
cooc,1,8,down,10620,0.1215,0.1215,0.0000,1.0000,8.7324,1.0815,7.6509
global_hot,2,8,all,10440,0.0791,0.0791,0.0000,1.0000,21.3868,1.6980,19.6888
global_hot,2,8,upgate,10440,0.0791,0.0791,0.0000,1.0000,12.7909,1.0006,11.7903
global_hot,2,8,down,10440,0.0791,0.0791,0.0000,1.0000,8.5959,0.6975,7.8984
global_hot,3,8,all,10260,0.0790,0.0790,0.0000,1.0000,21.0073,1.6659,19.3414
global_hot,3,8,upgate,10260,0.0790,0.0790,0.0000,1.0000,12.5478,0.9800,11.5678
global_hot,3,8,down,10260,0.0790,0.0790,0.0000,1.0000,8.4595,0.6859,7.7736
global_hot,1,8,all,10620,0.0786,0.0786,0.0000,1.0000,21.7664,1.7181,20.0483
global_hot,1,8,upgate,10620,0.0786,0.0786,0.0000,1.0000,13.0340,1.0134,12.0206
global_hot,1,8,down,10620,0.0786,0.0786,0.0000,1.0000,8.7324,0.7047,8.0277
