prompt,predictor,horizon,budget,bundle,samples,targets,predicted,hits,recall,precision,full_step_pct,pred_over_actual_bytes,target_gib,predicted_gib,useful_gib,waste_gib
dev_france_regression,hybrid_recent,1,16,down,5015,40120,80240,19549,0.4873,0.2436,0.0038,2.0000,255.6641,511.3281,123.9959,387.3322
dev_france_regression,hybrid_recent,1,32,all,5015,40120,160480,24033,0.5990,0.1498,0.0281,4.0000,637.2717,2549.0869,380.8228,2168.2641
dev_france_regression,hybrid_recent,1,32,upgate,5015,40120,160480,24033,0.5990,0.1498,0.0281,4.0000,381.6077,1526.4307,228.0078,1298.4229
dev_france_regression,hybrid_recent,1,32,down,5015,40120,160480,24033,0.5990,0.1498,0.0281,4.0000,255.6641,1022.6562,152.8150,869.8412
dev_france_regression,hybrid_prev,1,8,all,5015,40120,40120,14330,0.3572,0.3572,0.0006,1.0000,637.2717,637.2717,226.5818,410.6899
dev_france_regression,hybrid_prev,1,8,upgate,5015,40120,40120,14330,0.3572,0.3572,0.0006,1.0000,381.6077,381.6077,136.2808,245.3268
dev_france_regression,hybrid_prev,1,8,down,5015,40120,40120,14330,0.3572,0.3572,0.0006,1.0000,255.6641,255.6641,90.3010,165.3630
dev_france_regression,hybrid_prev,1,16,all,5015,40120,80240,19346,0.4822,0.2411,0.0038,2.0000,637.2717,1274.5435,306.3764,968.1671
dev_france_regression,hybrid_prev,1,16,upgate,5015,40120,80240,19346,0.4822,0.2411,0.0038,2.0000,381.6077,763.2153,183.5821,579.6332
dev_france_regression,hybrid_prev,1,16,down,5015,40120,80240,19346,0.4822,0.2411,0.0038,2.0000,255.6641,511.3281,122.7943,388.5339
dev_france_regression,hybrid_prev,1,32,all,5015,40120,160480,23786,0.5929,0.1482,0.0253,4.0000,637.2717,2549.0869,376.9084,2172.1785
dev_france_regression,hybrid_prev,1,32,upgate,5015,40120,160480,23786,0.5929,0.1482,0.0253,4.0000,381.6077,1526.4307,225.6291,1300.8016
dev_france_regression,hybrid_prev,1,32,down,5015,40120,160480,23786,0.5929,0.1482,0.0253,4.0000,255.6641,1022.6562,151.2793,871.3770
dev_france_regression,global_hot,2,8,all,4930,39440,39440,3317,0.0841,0.0841,0.0000,1.0000,626.1591,626.1591,53.0145,573.1445
dev_france_regression,global_hot,2,8,upgate,4930,39440,39440,3317,0.0841,0.0841,0.0000,1.0000,374.4897,374.4897,31.2618,343.2279
dev_france_regression,global_hot,2,8,down,4930,39440,39440,3317,0.0841,0.0841,0.0000,1.0000,251.6693,251.6693,21.7527,229.9166
dev_france_regression,global_hot,2,16,all,4930,39440,78880,5232,0.1327,0.0663,0.0000,2.0000,626.1591,1252.3181,83.1528,1169.1653
dev_france_regression,global_hot,2,16,upgate,4930,39440,78880,5232,0.1327,0.0663,0.0000,2.0000,374.4897,748.9795,49.1897,699.7898
dev_france_regression,global_hot,2,16,down,4930,39440,78880,5232,0.1327,0.0663,0.0000,2.0000,251.6693,503.3386,33.9631,469.3755
dev_france_regression,global_hot,2,32,all,4930,39440,157760,8461,0.2145,0.0536,0.0000,4.0000,626.1591,2504.6362,134.1934,2370.4428
dev_france_regression,global_hot,2,32,upgate,4930,39440,157760,8461,0.2145,0.0536,0.0000,4.0000,374.4897,1497.9590,79.5218,1418.4372
dev_france_regression,global_hot,2,32,down,4930,39440,157760,8461,0.2145,0.0536,0.0000,4.0000,251.6693,1006.6772,54.6716,952.0057
dev_france_regression,cooc,2,8,all,4930,39440,39440,4827,0.1224,0.1224,0.0000,1.0000,626.1591,626.1591,76.7382,549.4209
dev_france_regression,cooc,2,8,upgate,4930,39440,39440,4827,0.1224,0.1224,0.0000,1.0000,374.4897,374.4897,45.4092,329.0805
dev_france_regression,cooc,2,8,down,4930,39440,39440,4827,0.1224,0.1224,0.0000,1.0000,251.6693,251.6693,31.3290,220.3403
dev_france_regression,cooc,2,16,all,4930,39440,78880,7416,0.1880,0.0940,0.0002,2.0000,626.1591,1252.3181,117.7728,1134.5453
dev_france_regression,cooc,2,16,upgate,4930,39440,78880,7416,0.1880,0.0940,0.0002,2.0000,374.4897,748.9795,69.8094,679.1700
dev_france_regression,cooc,2,16,down,4930,39440,78880,7416,0.1880,0.0940,0.0002,2.0000,251.6693,503.3386,47.9634,455.3752
dev_france_regression,cooc,2,32,all,4930,39440,157760,10512,0.2665,0.0666,0.0028,4.0000,626.1591,2504.6362,166.8390,2337.7973
dev_france_regression,cooc,2,32,upgate,4930,39440,157760,10512,0.2665,0.0666,0.0028,4.0000,374.4897,1497.9590,99.1288,1398.8302
dev_france_regression,cooc,2,32,down,4930,39440,157760,10512,0.2665,0.0666,0.0028,4.0000,251.6693,1006.6772,67.7102,938.9671
dev_france_regression,previous_same_layer,2,8,all,4930,39440,38976,14098,0.3575,0.3617,0.0006,0.9882,626.1591,618.7925,222.8135,395.9789
dev_france_regression,previous_same_layer,2,8,upgate,4930,39440,38976,14098,0.3575,0.3617,0.0006,0.9882,374.4897,370.0840,133.9062,236.1778
dev_france_regression,previous_same_layer,2,8,down,4930,39440,38976,14098,0.3575,0.3617,0.0006,0.9882,251.6693,248.7085,88.9073,159.8011
dev_france_regression,previous_same_layer,2,16,all,4930,39440,38976,14098,0.3575,0.3617,0.0006,0.9882,626.1591,618.7925,222.8135,395.9789
dev_france_regression,previous_same_layer,2,16,upgate,4930,39440,38976,14098,0.3575,0.3617,0.0006,0.9882,374.4897,370.0840,133.9062,236.1778
dev_france_regression,previous_same_layer,2,16,down,4930,39440,38976,14098,0.3575,0.3617,0.0006,0.9882,251.6693,248.7085,88.9073,159.8011
dev_france_regression,previous_same_layer,2,32,all,4930,39440,38976,14098,0.3575,0.3617,0.0006,0.9882,626.1591,618.7925,222.8135,395.9789
dev_france_regression,previous_same_layer,2,32,upgate,4930,39440,38976,14098,0.3575,0.3617,0.0006,0.9882,374.4897,370.0840,133.9062,236.1778
dev_france_regression,previous_same_layer,2,32,down,4930,39440,38976,14098,0.3575,0.3617,0.0006,0.9882,251.6693,248.7085,88.9073,159.8011
dev_france_regression,recent_lfu,2,8,all,4930,39440,38976,13578,0.3443,0.3484,0.0002,0.9882,626.1591,618.7925,214.7233,404.0692
dev_france_regression,recent_lfu,2,8,upgate,4930,39440,38976,13578,0.3443,0.3484,0.0002,0.9882,374.4897,370.0840,128.8314,241.2526
dev_france_regression,recent_lfu,2,8,down,4930,39440,38976,13578,0.3443,0.3484,0.0002,0.9882,251.6693,248.7085,85.8920,162.8165
dev_france_regression,recent_lfu,2,16,all,4930,39440,77096,18049,0.4576,0.2341,0.0037,1.9549,626.1591,1224.0661,285.5211,938.5451
dev_france_regression,recent_lfu,2,16,upgate,4930,39440,77096,18049,0.4576,0.2341,0.0037,1.9547,374.4897,732.0093,171.1046,560.9047
dev_france_regression,recent_lfu,2,16,down,4930,39440,77096,18049,0.4576,0.2341,0.0037,1.9552,251.6693,492.0569,114.4165,377.6404
dev_france_regression,recent_lfu,2,32,all,4930,39440,103001,20749,0.5261,0.2014,0.0118,2.6160,626.1591,1638.0197,328.5286,1309.4910
dev_france_regression,recent_lfu,2,32,upgate,4930,39440,103001,20749,0.5261,0.2014,0.0118,2.6123,374.4897,978.2776,196.6556,781.6219
dev_france_regression,recent_lfu,2,32,down,4930,39440,103001,20749,0.5261,0.2014,0.0118,2.6215,251.6693,659.7421,131.8730,527.8691
dev_france_regression,hybrid_balanced,2,8,all,4930,39440,39440,14451,0.3664,0.3664,0.0006,1.0000,626.1591,626.1591,228.4991,397.6599
dev_france_regression,hybrid_balanced,2,8,upgate,4930,39440,39440,14451,0.3664,0.3664,0.0006,1.0000,374.4897,374.4897,137.2141,237.2756
dev_france_regression,hybrid_balanced,2,8,down,4930,39440,39440,14451,0.3664,0.3664,0.0006,1.0000,251.6693,251.6693,91.2850,160.3843
dev_france_regression,hybrid_balanced,2,16,all,4930,39440,78880,19114,0.4846,0.2423,0.0034,2.0000,626.1591,1252.3181,302.4830,949.8351
dev_france_regression,hybrid_balanced,2,16,upgate,4930,39440,78880,19114,0.4846,0.2423,0.0034,2.0000,374.4897,748.9795,181.0477,567.9318
dev_france_regression,hybrid_balanced,2,16,down,4930,39440,78880,19114,0.4846,0.2423,0.0034,2.0000,251.6693,503.3386,121.4353,381.9033
dev_france_regression,hybrid_balanced,2,32,all,4930,39440,157760,23433,0.5941,0.1485,0.0290,4.0000,626.1591,2504.6362,371.1234,2133.5129
dev_france_regression,hybrid_balanced,2,32,upgate,4930,39440,157760,23433,0.5941,0.1485,0.0290,4.0000,374.4897,1497.9590,221.9153,1276.0437
dev_france_regression,hybrid_balanced,2,32,down,4930,39440,157760,23433,0.5941,0.1485,0.0290,4.0000,251.6693,1006.6772,149.2081,857.4691
dev_france_regression,hybrid_cooc,2,8,all,4930,39440,39440,12545,0.3181,0.3181,0.0000,1.0000,626.1591,626.1591,198.6278,427.5313
dev_france_regression,hybrid_cooc,2,8,upgate,4930,39440,39440,12545,0.3181,0.3181,0.0000,1.0000,374.4897,374.4897,118.9865,255.5032
dev_france_regression,hybrid_cooc,2,8,down,4930,39440,39440,12545,0.3181,0.3181,0.0000,1.0000,251.6693,251.6693,79.6412,172.0281
dev_france_regression,hybrid_cooc,2,16,all,4930,39440,78880,17960,0.4554,0.2277,0.0028,2.0000,626.1591,1252.3181,284.2372,968.0809
dev_france_regression,hybrid_cooc,2,16,upgate,4930,39440,78880,17960,0.4554,0.2277,0.0028,2.0000,374.4897,748.9795,170.1174,578.8621
dev_france_regression,hybrid_cooc,2,16,down,4930,39440,78880,17960,0.4554,0.2277,0.0028,2.0000,251.6693,503.3386,114.1198,389.2188
dev_france_regression,hybrid_cooc,2,32,all,4930,39440,157760,22437,0.5689,0.1422,0.0189,4.0000,626.1591,2504.6362,355.3208,2149.3154
dev_france_regression,hybrid_cooc,2,32,upgate,4930,39440,157760,22437,0.5689,0.1422,0.0189,4.0000,374.4897,1497.9590,212.4065,1285.5525
dev_france_regression,hybrid_cooc,2,32,down,4930,39440,157760,22437,0.5689,0.1422,0.0189,4.0000,251.6693,1006.6772,142.9144,863.7629
dev_france_regression,hybrid_recent,2,8,all,4930,39440,39440,14251,0.3613,0.3613,0.0006,1.0000,626.1591,626.1591,225.3041,400.8550
dev_france_regression,hybrid_recent,2,8,upgate,4930,39440,39440,14251,0.3613,0.3613,0.0006,1.0000,374.4897,374.4897,135.3736,239.1162
dev_france_regression,hybrid_recent,2,8,down,4930,39440,39440,14251,0.3613,0.3613,0.0006,1.0000,251.6693,251.6693,89.9305,161.7388
dev_france_regression,hybrid_recent,2,16,all,4930,39440,78880,19249,0.4881,0.2440,0.0039,2.0000,626.1591,1252.3181,304.5969,947.7212
dev_france_regression,hybrid_recent,2,16,upgate,4930,39440,78880,19249,0.4881,0.2440,0.0039,2.0000,374.4897,748.9795,182.3839,566.5956
dev_france_regression,hybrid_recent,2,16,down,4930,39440,78880,19249,0.4881,0.2440,0.0039,2.0000,251.6693,503.3386,122.2130,381.1256
dev_france_regression,hybrid_recent,2,32,all,4930,39440,157760,23619,0.5989,0.1497,0.0304,4.0000,626.1591,2504.6362,374.0682,2130.5681
dev_france_regression,hybrid_recent,2,32,upgate,4930,39440,157760,23619,0.5989,0.1497,0.0304,4.0000,374.4897,1497.9590,223.6862,1274.2728
dev_france_regression,hybrid_recent,2,32,down,4930,39440,157760,23619,0.5989,0.1497,0.0304,4.0000,251.6693,1006.6772,150.3820,856.2953
dev_france_regression,hybrid_prev,2,8,all,4930,39440,39440,14159,0.3590,0.3590,0.0006,1.0000,626.1591,626.1591,223.7946,402.3645
dev_france_regression,hybrid_prev,2,8,upgate,4930,39440,39440,14159,0.3590,0.3590,0.0006,1.0000,374.4897,374.4897,134.4909,239.9989
dev_france_regression,hybrid_prev,2,8,down,4930,39440,39440,14159,0.3590,0.3590,0.0006,1.0000,251.6693,251.6693,89.3037,162.3656
dev_france_regression,hybrid_prev,2,16,all,4930,39440,78880,19076,0.4837,0.2418,0.0034,2.0000,626.1591,1252.3181,301.8865,950.4316
dev_france_regression,hybrid_prev,2,16,upgate,4930,39440,78880,19076,0.4837,0.2418,0.0034,2.0000,374.4897,748.9795,180.6995,568.2800
dev_france_regression,hybrid_prev,2,16,down,4930,39440,78880,19076,0.4837,0.2418,0.0034,2.0000,251.6693,503.3386,121.1871,382.1516
dev_france_regression,hybrid_prev,2,32,all,4930,39440,157760,23391,0.5931,0.1483,0.0286,4.0000,626.1591,2504.6362,370.4592,2134.1770
dev_france_regression,hybrid_prev,2,32,upgate,4930,39440,157760,23391,0.5931,0.1483,0.0286,4.0000,374.4897,1497.9590,221.5226,1276.4364
dev_france_regression,hybrid_prev,2,32,down,4930,39440,157760,23391,0.5931,0.1483,0.0286,4.0000,251.6693,1006.6772,148.9366,857.7406
dev_france_regression,global_hot,3,8,all,4845,38760,38760,3245,0.0837,0.0837,0.0000,1.0000,615.0464,615.0464,51.8379,563.2085
dev_france_regression,global_hot,3,8,upgate,4845,38760,38760,3245,0.0837,0.0837,0.0000,1.0000,367.3718,367.3718,30.5081,336.8637
dev_france_regression,global_hot,3,8,down,4845,38760,38760,3245,0.0837,0.0837,0.0000,1.0000,247.6746,247.6746,21.3297,226.3448
dev_france_regression,global_hot,3,16,all,4845,38760,77520,5130,0.1324,0.0662,0.0000,2.0000,615.0464,1230.0928,81.4859,1148.6069
dev_france_regression,global_hot,3,16,upgate,4845,38760,77520,5130,0.1324,0.0662,0.0000,2.0000,367.3718,734.7437,48.1220,686.6216
dev_france_regression,global_hot,3,16,down,4845,38760,77520,5130,0.1324,0.0662,0.0000,2.0000,247.6746,495.3491,33.3639,461.9853
dev_france_regression,global_hot,3,32,all,4845,38760,155040,8341,0.2152,0.0538,0.0000,4.0000,615.0464,2460.1855,132.2323,2327.9532
dev_france_regression,global_hot,3,32,upgate,4845,38760,155040,8341,0.2152,0.0538,0.0000,4.0000,367.3718,1469.4873,78.2657,1391.2216
dev_france_regression,global_hot,3,32,down,4845,38760,155040,8341,0.2152,0.0538,0.0000,4.0000,247.6746,990.6982,53.9666,936.7316
