depth,mode,kind,layer,tensor,calls,transitions,actual_events,covered_events,actual_bytes,covered_bytes,false_bytes,event_coverage,byte_coverage,false_prefetch_ratio,net_byte_multiplier,exact_repeat_rate,avg_jaccard
1,decode,up,13,blk.13.ffn_up_exps.weight,31,30,240,94,1128529920,442007552,686522368,0.39166666666666666,0.39166666666666666,0.6083333333333333,1.6083333333333334,0.0,0.25858141858141853
1,decode,gate,13,blk.13.ffn_gate_exps.weight,31,30,240,94,1128529920,442007552,686522368,0.39166666666666666,0.39166666666666666,0.6083333333333333,1.6083333333333334,0.0,0.25858141858141853
1,decode,down,13,blk.13.ffn_down_exps.weight,31,30,240,94,1513881600,592936960,920944640,0.39166666666666666,0.39166666666666666,0.6083333333333333,1.6083333333333334,0.0,0.25858141858141853
1,decode,up,14,blk.14.ffn_up_exps.weight,31,30,240,89,1128529920,418496512,710033408,0.37083333333333335,0.37083333333333335,0.6291666666666667,1.6291666666666667,0.0,0.24595182595182594
1,decode,gate,14,blk.14.ffn_gate_exps.weight,31,30,240,89,1348730880,500154368,848576512,0.37083333333333335,0.37083333333333335,0.6291666666666667,1.6291666666666667,0.0,0.24595182595182594
1,decode,down,14,blk.14.ffn_down_exps.weight,31,30,240,89,1513881600,561397760,952483840,0.37083333333333335,0.37083333333333335,0.6291666666666667,1.6291666666666667,0.0,0.24595182595182594
1,decode,up,15,blk.15.ffn_up_exps.weight,31,30,240,93,1128529920,437305344,691224576,0.3875,0.3875,0.6125,1.6125,0.0,0.26690198690198685
1,decode,gate,15,blk.15.ffn_gate_exps.weight,31,30,240,93,1128529920,437305344,691224576,0.3875,0.3875,0.6125,1.6125,0.0,0.26690198690198685
1,decode,up,16,blk.16.ffn_up_exps.weight,31,30,240,69,1128529920,324452352,804077568,0.2875,0.2875,0.7125,1.7125,0.0,0.18182928182928182
1,decode,gate,16,blk.16.ffn_gate_exps.weight,31,30,240,69,1128529920,324452352,804077568,0.2875,0.2875,0.7125,1.7125,0.0,0.18182928182928182
1,decode,down,16,blk.16.ffn_down_exps.weight,31,30,240,69,1871708160,538116096,1333592064,0.2875,0.2875,0.7125,1.7125,0.0,0.18182928182928182
1,decode,up,17,blk.17.ffn_up_exps.weight,31,30,240,86,1128529920,404389888,724140032,0.35833333333333334,0.35833333333333334,0.6416666666666667,1.6416666666666666,0.0,0.25352203352203345
1,decode,gate,17,blk.17.ffn_gate_exps.weight,31,30,240,86,1128529920,404389888,724140032,0.35833333333333334,0.35833333333333334,0.6416666666666667,1.6416666666666666,0.0,0.25352203352203345
1,decode,down,17,blk.17.ffn_down_exps.weight,31,30,240,86,1513881600,542474240,971407360,0.35833333333333334,0.35833333333333334,0.6416666666666667,1.6416666666666666,0.0,0.25352203352203345
1,decode,up,18,blk.18.ffn_up_exps.weight,31,30,240,76,1128529920,357367808,771162112,0.31666666666666665,0.31666666666666665,0.6833333333333333,1.6833333333333333,0.0,0.20889184889184892
1,decode,gate,18,blk.18.ffn_gate_exps.weight,31,30,240,76,1128529920,357367808,771162112,0.31666666666666665,0.31666666666666665,0.6833333333333333,1.6833333333333333,0.0,0.20889184889184892
1,decode,up,19,blk.19.ffn_up_exps.weight,31,30,240,81,1128529920,380878848,747651072,0.3375,0.3375,0.6625,1.6625,0.0,0.2284278684278684
1,decode,gate,19,blk.19.ffn_gate_exps.weight,31,30,240,81,1128529920,380878848,747651072,0.3375,0.3375,0.6625,1.6625,0.0,0.2284278684278684
1,decode,down,19,blk.19.ffn_down_exps.weight,31,30,240,81,1871708160,631701504,1240006656,0.3375,0.3375,0.6625,1.6625,0.0,0.2284278684278684
1,decode,up,20,blk.20.ffn_up_exps.weight,31,30,240,75,1128529920,352665600,775864320,0.3125,0.3125,0.6875,1.6875,0.0,0.2013897213897214
1,decode,gate,20,blk.20.ffn_gate_exps.weight,31,30,240,75,1128529920,352665600,775864320,0.3125,0.3125,0.6875,1.6875,0.0,0.2013897213897214
1,decode,down,20,blk.20.ffn_down_exps.weight,31,30,240,75,1871708160,584908800,1286799360,0.3125,0.3125,0.6875,1.6875,0.0,0.2013897213897214
1,decode,up,21,blk.21.ffn_up_exps.weight,31,30,240,83,1128529920,390283264,738246656,0.3458333333333333,0.3458333333333333,0.6541666666666667,1.6541666666666666,0.0,0.22350316350316354
1,decode,gate,21,blk.21.ffn_gate_exps.weight,31,30,240,83,1128529920,390283264,738246656,0.3458333333333333,0.3458333333333333,0.6541666666666667,1.6541666666666666,0.0,0.22350316350316354
1,decode,down,21,blk.21.ffn_down_exps.weight,31,30,240,83,1871708160,647299072,1224409088,0.3458333333333333,0.3458333333333333,0.6541666666666667,1.6541666666666666,0.0,0.22350316350316354
