scope,prompt,top_k,kind,calls,predictable_call_ratio,actual_events,recall,precision,byte_recall,predicted_to_actual_byte_ratio
fold,dev_intelligence_general,16,down,1920,1.0,18578,0.16164280331574982,0.09775390625,0.16463481891480886,1.6548920757937677
fold,dev_intelligence_general,16,gate,1920,1.0,18578,0.16164280331574982,0.09775390625,0.15781306387585708,1.6522089381962957
fold,dev_intelligence_general,16,up,1920,1.0,18578,0.16164280331574982,0.09775390625,0.1612836136201494,1.6547064740330293
aggregate,all,32,all,11520,1.0,113571,0.24547639802414348,0.07562662760416666,0.24543223168680844,3.2466638475123335
aggregate,all,32,down,3840,1.0,37857,0.24547639802414348,0.07562662760416666,0.24835851890637445,3.2488390822704067
aggregate,all,32,gate,3840,1.0,37857,0.24547639802414348,0.07562662760416666,0.24179189394367814,3.2428886501159306
aggregate,all,32,up,3840,1.0,37857,0.24547639802414348,0.07562662760416666,0.24529501518076208,3.247719484008711
fold,dev_france_regression,32,all,5760,1.0,57837,0.24166191192489236,0.075830078125,0.24165206191599192,3.1875550407262074
fold,dev_france_regression,32,down,1920,1.0,19279,0.24166191192489236,0.075830078125,0.24409546939526,3.190097869288598
fold,dev_france_regression,32,gate,1920,1.0,19279,0.24166191192489236,0.075830078125,0.2383864191286071,3.183608921868043
fold,dev_france_regression,32,up,1920,1.0,19279,0.24166191192489236,0.075830078125,0.24178288878499565,3.188284081870564
fold,dev_intelligence_general,32,all,5760,1.0,55734,0.24943481537302187,0.07542317708333333,0.24935524637672754,3.308006255759642
fold,dev_intelligence_general,32,down,1920,1.0,18578,0.24943481537302187,0.07542317708333333,0.25278150976353775,3.3097841515875355
fold,dev_intelligence_general,32,gate,1920,1.0,18578,0.24943481537302187,0.07542317708333333,0.24532659689642727,3.3044178763925913
fold,dev_intelligence_general,32,up,1920,1.0,18578,0.24943481537302187,0.07542317708333333,0.2489405738169846,3.3094129480660586
aggregate,all,64,all,11520,1.0,113571,0.37892595821116304,0.058369954427083336,0.37883794743030286,6.493327695024667
aggregate,all,64,down,3840,1.0,37857,0.37892595821116304,0.058369954427083336,0.38216147017778185,6.4976781645408135
aggregate,all,64,gate,3840,1.0,37857,0.37892595821116304,0.058369954427083336,0.37483984218135663,6.485777300231861
aggregate,all,64,up,3840,1.0,37857,0.37892595821116304,0.058369954427083336,0.3785344209632439,6.495438968017422
fold,dev_france_regression,64,all,5760,1.0,57837,0.3701436796514342,0.05807291666666667,0.37025374713596093,6.375110081452415
fold,dev_france_regression,64,down,1920,1.0,19279,0.3701436796514342,0.05807291666666667,0.3732086852784756,6.380195738577196
fold,dev_france_regression,64,gate,1920,1.0,19279,0.3701436796514342,0.05807291666666667,0.36632283057445714,6.367217843736086
fold,dev_france_regression,64,up,1920,1.0,19279,0.3701436796514342,0.05807291666666667,0.3703920485248848,6.376568163741128
fold,dev_intelligence_general,64,all,5760,1.0,55734,0.3880396167509958,0.0586669921875,0.38774652717608427,6.616012511519284
