seq,layer,row,rank,expert_idx,weight,sort_score,logit,bias,topk_tensor,weights_tensor
78,3,9,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
79,3,9,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
80,3,9,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
81,3,10,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
82,3,10,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
83,3,10,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
84,3,10,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
85,3,10,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
86,3,10,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
87,3,10,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
88,3,10,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
89,3,11,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
90,3,11,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
91,3,11,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
92,3,11,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
93,3,11,4,15,0.5,35.1179733,0,34.6179733,ffn_moe_topk-3,ffn_moe_weights-3
94,3,11,5,174,0.5,35.1159744,0,34.6159744,ffn_moe_topk-3,ffn_moe_weights-3
95,3,11,6,11,0.5,35.1139755,0,34.6139755,ffn_moe_topk-3,ffn_moe_weights-3
96,3,11,7,163,0.5,35.1129761,0,34.6129761,ffn_moe_topk-3,ffn_moe_weights-3
97,3,12,0,41,0.5,35.1229706,0,34.6229706,ffn_moe_topk-3,ffn_moe_weights-3
98,3,12,1,26,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
99,3,12,2,166,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
100,3,12,3,233,0.5,35.1189728,0,34.6189728,ffn_moe_topk-3,ffn_moe_weights-3
