scope,key,threshold,rows,skip_block_ratio,skip_value_ratio,mean_l2_abs,mean_l2_rel,max_l2_rel,max_abs_err,mean_abs_err,mean_exact_l2
layer,35,0.1,744,0.00025201612903225806,0.00025201612903225806,0.0033739905376344087,0.0008033468325268816,0.176861977,0.0311745293,3.179669271505376e-05,6.691986568790321
layer,36,0.1,744,4.2002688172043014e-05,4.2002688172043014e-05,0.0006000348588709678,0.0001396158064516129,0.10387416,0.0195646733,5.642068911290322e-06,7.294812122365589
layer,37,0.1,744,4.2002688172043014e-05,4.2002688172043014e-05,0.0005861139341397849,0.00014151861290322582,0.105289848,0.0224714354,5.529714032258064e-06,8.068904329475806
layer,38,0.1,744,4.2002688172043014e-05,4.2002688172043014e-05,0.0006339998293010753,0.00011260943010752688,0.083781416,0.0238325838,5.970291021505377e-06,8.400173868064511
layer,39,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.086480758440857
layer,40,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.957084637728492
layer,41,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.836523361545703
layer,42,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.564877636868271
layer,43,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.195081156438185
layer,44,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.493037481034943
layer,45,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.574329949220443
layer,46,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.035849764771513
layer,47,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.154777374435481
layer,48,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.023195452540326
layer,49,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.831370944556458
layer,50,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.87421650375
layer,51,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.108180118924723
layer,52,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.913535980147858
layer,53,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.665161184690836
layer,54,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.583124177419336
layer,55,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64096022870966
layer,56,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.45163941084678
layer,57,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.860550224327945
layer,58,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.47939278798387
layer,59,0.1,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.82653880510752
layer,60,0.1,768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.67235625545571
layer,1,0.2,744,0.999957997311828,0.999957997311828,0.10052721554529567,0.9994099356344086,1.0,0.0474075601,0.0009448338098091385,0.10085113130201609
layer,2,0.2,744,0.9996219758064516,0.9996219758064516,0.18575179184180082,0.9959641692405914,1.0,0.0562705584,0.001749475130284946,0.18849507103266097
layer,3,0.2,744,0.9987819220430108,0.9987819220430108,0.2630836963166667,0.9888987924959675,1.0,0.0390085932,0.0024785813925094075,0.2706493387252687
layer,4,0.2,744,0.9967657930107527,0.9967657930107527,0.32455999135577973,0.9788122766276882,1.0,0.0580417253,0.0030570502957043017,0.34329230211384437
layer,5,0.2,744,0.9963877688172043,0.9963877688172043,0.3798248565288983,0.981312134587366,1.0,0.0575453043,0.003579128044260752,0.39879159867137115
layer,11,0.2,744,0.9841229838709677,0.9841229838709677,0.9058975659314513,0.9579039804448914,1.0,0.0855956855,0.008538690173575274,0.9733101297043018
layer,12,0.2,744,0.9844590053763441,0.9844590053763441,0.9621295500927415,0.9629784238118276,1.0,0.154721614,0.009067769624381722,1.0215927299381715
layer,13,0.2,744,0.9586693548387096,0.9586693548387096,1.2734849659811815,0.9272653661155918,1.0,0.104964848,0.012001597304516142,1.4142079166263437
layer,14,0.2,744,0.9512348790322581,0.9512348790322581,1.2970772222741942,0.9211097707849462,1.0,0.127509192,0.012225233578830652,1.4552119899287628
layer,16,0.2,744,0.9170866935483871,0.9170866935483871,1.620392546305107,0.8906436883118284,1.0,0.171281511,0.015268973442836002,1.8800294289946244
layer,17,0.2,744,0.870127688172043,0.870127688172043,1.7816750087715039,0.8493248678158599,1.0,0.143174116,0.016790219571666674,2.2199258956666656
layer,19,0.2,744,0.8576108870967742,0.8576108870967742,1.897711905698926,0.8452947076706998,1.0,0.14093953,0.01788310358537631,2.333744856263441
layer,20,0.2,744,0.820354502688172,0.820354502688172,1.9340535895336024,0.8175443952217747,1.0,0.13912835,0.018225895836263464,2.496403583794356
layer,21,0.2,744,0.7270665322580645,0.7270665322580645,2.0476293238978505,0.744762290630377,1.0,0.148094764,0.019299909890994612,2.930868221559138
layer,22,0.2,744,0.6530577956989247,0.6530577956989247,2.1043276592647797,0.689550020220834,1.0,0.153686456,0.01983030833638444,3.2378681375537646
layer,23,0.2,744,0.6499915994623656,0.6499915994623656,2.1724505780349483,0.691672037103495,1.0,0.200694956,0.020471555161989213,3.3356270091532245
layer,24,0.2,744,0.5643481182795699,0.5643481182795699,2.061850807236561,0.6161330501215057,1.0,0.207072098,0.01943099747607527,3.753286812634412
layer,25,0.2,744,0.5386004704301075,0.5386004704301075,2.0947470002983875,0.5993771121340056,1.0,0.17610177,0.019743629056384406,3.833981448682793
layer,26,0.2,744,0.4661458333333333,0.4661458333333333,1.9810629947634406,0.5362494455266128,1.0,0.189495936,0.018673358732903243,4.231855302553758
layer,27,0.2,744,0.33736559139784944,0.33736559139784944,1.7096868914758074,0.4101518060403223,1.0,0.203846059,0.016113361108360216,5.132845075766128
layer,28,0.2,744,0.3289650537634409,0.3289650537634409,1.7362240190336025,0.41249501122567184,1.0,0.187142227,0.016362096645322576,5.007962991008067
layer,29,0.2,744,0.3265288978494624,0.3265288978494624,1.8426227075658617,0.4223892738559142,1.0,0.228624359,0.017360785795591402,5.072825856142475
layer,30,0.2,744,0.28423219086021506,0.28423219086021506,1.6592332561653231,0.37433272923857513,0.977330735,0.18457206,0.015637329454637097,5.320556292204298
layer,31,0.2,744,0.2088793682795699,0.2088793682795699,1.4923900283212357,0.30371380755793015,0.959488908,0.192565087,0.014064759769986562,5.921824399045699
layer,32,0.2,744,0.2481518817204301,0.2481518817204301,1.6043023771666662,0.34562934358911307,0.934484274,0.163681889,0.015115689941034929,5.615160460295699
layer,33,0.2,744,0.1039986559139785,0.1039986559139785,0.9377567207580635,0.1749244329251345,0.892617055,0.15791811,0.008836046850725804,6.9765442910618285
layer,34,0.2,744,0.11046706989247312,0.11046706989247312,1.0018746049381715,0.18429524549018833,0.866925361,0.154579686,0.009441295488857538,6.92701325766129
layer,35,0.2,744,0.12806619623655913,0.12806619623655913,1.1031970886303766,0.21146661001115594,0.850393879,0.171596479,0.010396060403185482,6.691986568790321
layer,36,0.2,744,0.08371135752688172,0.08371135752688172,0.855377245229838,0.15423903833333333,0.758266902,0.144447225,0.008059031332352152,7.294812122365589
layer,37,0.2,744,0.058929771505376344,0.058929771505376344,0.6550260213642469,0.11276225884435491,0.776450003,0.16022893,0.006171630085362903,8.068904329475806
layer,38,0.2,744,0.03713037634408602,0.03713037634408602,0.5214824975752692,0.08344875559206989,0.577397186,0.131723076,0.00491305717284946,8.400173868064511
layer,39,0.2,744,0.03070396505376344,0.03070396505376344,0.41069154115188167,0.06687647344556451,0.905515472,0.154049965,0.003870906437016129,9.086480758440857
layer,40,0.2,744,0.030031922043010754,0.030031922043010754,0.38838079430645167,0.06411551573427415,0.871601236,0.141847141,0.003659900333575269,8.957084637728492
layer,41,0.2,744,0.024319556451612902,0.024319556451612902,0.35776694256451613,0.05716885555107531,0.746127429,0.141714411,0.003371510581975807,8.836523361545703
layer,42,0.2,744,0.010122647849462365,0.010122647849462365,0.1813040156975806,0.026819206627688177,0.549978845,0.122105025,0.0017088779245564517,10.564877636868271
layer,43,0.2,744,0.01003864247311828,0.01003864247311828,0.1891025339663979,0.027512754101747333,0.389773889,0.132065982,0.0017817657703091397,10.195081156438185
layer,44,0.2,744,0.005754368279569893,0.005754368279569893,0.1068843592325269,0.015754601880510755,0.409696884,0.105272759,0.001007921183830645,11.493037481034943
layer,45,0.2,744,0.00600638440860215,0.00600638440860215,0.11124987205241936,0.016403955343279562,0.550655843,0.112384088,0.0010480718045833336,11.574329949220443
layer,46,0.2,744,0.0026041666666666665,0.0026041666666666665,0.05493114248924731,0.0076189060486559134,0.373749013,0.0905561,0.0005174920819892474,13.035849764771513
layer,47,0.2,744,0.003402217741935484,0.003402217741935484,0.059056435969086024,0.008802015173790322,0.389003856,0.0941306502,0.0005563451212634409,12.154777374435481
layer,48,0.2,744,0.0020161290322580645,0.0020161290322580645,0.04631343039784946,0.006499317441801078,0.358372377,0.0995297506,0.0004367689291532259,12.023195452540326
layer,49,0.2,744,0.0006300403225806451,0.0006300403225806451,0.011955745900537634,0.0016466903698924731,0.269358417,0.0753758997,0.00011275195907258065,15.831370944556458
layer,50,0.2,744,0.0005040322580645161,0.0005040322580645161,0.012523529974462367,0.0016475652916666669,0.217666745,0.064199917,0.00011799053579301075,13.87421650375
layer,51,0.2,744,0.0003360215053763441,0.0003360215053763441,0.010085073056451612,0.0012635796977150538,0.137929594,0.0547928251,9.500043584677419e-05,14.108180118924723
layer,52,0.2,744,0.0013020833333333333,0.0013020833333333333,0.021135543331989245,0.0031643350293010753,0.334631698,0.0858860016,0.00019919547775537632,14.913535980147858
layer,53,0.2,744,0.0002940188172043011,0.0002940188172043011,0.00830929355376344,0.001083593311827957,0.169783193,0.0527389646,7.81533532123656e-05,15.665161184690836
layer,54,0.2,744,8.400537634408603e-05,8.400537634408603e-05,0.0023702927647849463,0.0003295994126344086,0.130508932,0.0393782444,2.227488126344086e-05,16.583124177419336
layer,55,0.2,744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.64096022870966
layer,56,0.2,744,4.2002688172043014e-05,4.2002688172043014e-05,0.0014929656720430108,0.00017710593413978497,0.131766815,0.0545503795,1.401957688172043e-05,16.45163941084678
