prompt,path,window_size,history_depth,trace_events,windows_evaluated,actual_bytes,covered_bytes,false_bytes,byte_coverage,event_coverage,false_prefetch_ratio,net_byte_multiplier,avg_predicted_unique,avg_actual_unique
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,512,2,47080,91,259595829248,17404018688,498980077568,0.06704275156660316,0.06729943308709843,1.9221421199772388,2.922142119977239,1018.3736263736264,511.7362637362637
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,512,4,47080,91,259595829248,58385940480,888993710080,0.2249109342362434,0.22534787837141385,3.4245300190501773,4.424530019050177,1867.967032967033,511.7362637362637
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,1024,1,47080,45,256733216768,38441353216,218316636160,0.14973268243173216,0.1502735799895779,0.8503638092038726,1.8503638092038726,1024.0,1023.4666666666667
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,1024,2,47080,45,256733216768,64953434112,405971779584,0.2529997283939146,0.2533437554281744,1.5812982234817756,2.5812982234817756,1877.5111111111112,1023.4666666666667
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,1024,4,47080,45,256733216768,98092531712,721550376960,0.3820796270419596,0.3828165711307973,2.810506509611639,3.810506509611639,3266.911111111111,1023.4666666666667
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,1536,1,47080,30,253799956480,61001859072,192683638784,0.2403540958715928,0.24069032144739153,0.7591949244450871,1.759194924445087,1505.1666666666667,1489.0333333333333
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,1536,2,47080,30,253799956480,84022149120,357008605184,0.3310565938833056,0.33183295274899,1.406653531921047,2.406653531921047,2619.9,1489.0333333333333
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,1536,4,47080,30,253799956480,109621198848,629159903232,0.4319196912732268,0.43254874407166694,2.4789598546742826,3.4789598546742826,4395.966666666666,1489.0333333333333
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,2048,1,47080,22,251015331840,62835834880,178997116928,0.2503266809218342,0.25059957363652513,0.7130923661750461,1.7130923661750461,1902.1818181818182,1898.8636363636363
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,2048,2,47080,22,251015331840,93158653952,323805167616,0.3711273461629841,0.3718022739385326,1.2899816327649543,2.2899816327649543,3304.7727272727275,1898.8636363636363
dev_linear_equation,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_linear_equation/route-trace.csv,2048,4,47080,22,251015331840,118977445888,555856150528,0.47398477621214613,0.4746846686800497,2.214431072609975,3.214431072609975,5390.181818181818,1898.8636363636363
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,256,1,74760,292,415251300352,0,416616546304,0.0,0.0,1.0032877584027857,2.0032877584027857,256.0,255.15068493150685
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,256,2,74760,292,415251300352,0,831759581184,0.0,0.0,2.003027035626221,3.003027035626221,511.1232876712329,255.15068493150685
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,256,4,74760,292,415251300352,0,1657775587328,0.0,0.0,3.9922225070041626,4.992222507004163,1018.7397260273973,255.15068493150685
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,512,1,74760,146,413864951808,0,416616546304,0.0,0.0,1.006648532290496,2.006648532290496,512.0,508.54794520547944
dev_mixed_summary,.Agent/runs/20260707-gp4-aligned-alias-dev-n96-profile-correct/dev_mixed_summary/route-trace.csv,512,2,74760,146,413864951808,38350635008,791983144960,0.09266461158516173,0.09275670725137378,1.9136269971645639,2.913626997164564,1020.4931506849315,508.54794520547944
