call,seq_id,pos,n_tokens,n_seq_tokens,source_layer,target_layer,kind,topk,ne0,ne1,record_us,values
1,0,18,1,1,50,50,actual,8,8,1,970,53|287|336|274|67|383|167|356
1,0,18,1,1,51,52,pred,4,4,1,970,245|92|341|33
1,0,18,1,1,51,51,actual,8,8,1,970,72|150|255|170|30|274|252|370
1,0,18,1,1,52,53,pred,4,4,1,970,132|277|325|130
1,0,18,1,1,52,52,actual,8,8,1,970,245|92|33|341|117|62|167|339
1,0,18,1,1,53,54,pred,4,4,1,970,85|245|57|208
1,0,18,1,1,53,53,actual,8,8,1,970,132|277|261|325|130|298|183|307
1,0,18,1,1,54,55,pred,4,4,1,970,14|304|344|353
1,0,18,1,1,54,54,actual,8,8,1,970,85|245|57|208|126|326|99|265
1,0,18,1,1,55,56,pred,4,4,1,970,202|199|159|372
1,0,18,1,1,55,55,actual,8,8,1,970,14|304|344|182|103|154|353|31
1,0,18,1,1,56,57,pred,4,4,1,970,192|46|167|264
1,0,18,1,1,56,56,actual,8,8,1,970,202|159|199|372|16|179|304|30
1,0,18,1,1,57,58,pred,4,4,1,970,320|341|325|69
1,0,18,1,1,57,57,actual,8,8,1,970,192|46|196|159|167|264|296|20
1,0,18,1,1,58,59,pred,4,4,1,970,206|322|35|22
1,0,18,1,1,58,58,actual,8,8,1,970,320|341|3|121|69|204|131|110
1,0,18,1,1,59,60,pred,4,4,1,970,149|135|115|45
1,0,18,1,1,59,59,actual,8,8,1,970,35|206|322|22|321|326|343|128
1,0,18,1,1,60,60,actual,8,8,1,970,149|45|135|193|161|295|378|261
2,0,19,1,1,1,2,pred,4,4,1,982,304|240|246|36
2,0,19,1,1,1,1,actual,8,8,1,982,187|347|116|121|221|41|224|5
2,0,19,1,1,2,3,pred,4,4,1,982,147|241|290|315
2,0,19,1,1,2,2,actual,8,8,1,982,304|246|200|322|113|155|303|376
2,0,19,1,1,3,4,pred,4,4,1,982,242|149|79|332
2,0,19,1,1,3,3,actual,8,8,1,982,147|241|65|253|290|63|315|23
2,0,19,1,1,4,5,pred,4,4,1,982,78|45|323|148
2,0,19,1,1,4,4,actual,8,8,1,982,242|79|149|187|26|335|139|383
2,0,19,1,1,5,6,pred,4,4,1,982,213|225|174|74
2,0,19,1,1,5,5,actual,8,8,1,982,78|117|191|347|205|134|175|45
2,0,19,1,1,6,7,pred,4,4,1,982,8|33|128|304
2,0,19,1,1,6,6,actual,8,8,1,982,286|23|329|84|225|174|107|207
2,0,19,1,1,7,8,pred,4,4,1,982,53|226|247|218
2,0,19,1,1,7,7,actual,8,8,1,982,8|33|128|335|304|62|39|235
2,0,19,1,1,8,9,pred,4,4,1,982,259|142|381|197
2,0,19,1,1,8,8,actual,8,8,1,982,53|43|226|247|218|101|241|155
2,0,19,1,1,9,10,pred,4,4,1,982,293|35|28|260
2,0,19,1,1,9,9,actual,8,8,1,982,259|142|197|122|381|239|55|51
2,0,19,1,1,10,11,pred,4,4,1,982,214|335|170|175
2,0,19,1,1,10,10,actual,8,8,1,982,293|35|28|124|260|153|131|127
2,0,19,1,1,11,12,pred,4,4,1,982,167|320|317|69
2,0,19,1,1,11,11,actual,8,8,1,982,214|170|335|25|263|61|26|175
2,0,19,1,1,12,13,pred,4,4,1,982,64|269|181|334
2,0,19,1,1,12,12,actual,8,8,1,982,69|167|320|17|317|116|159|348
2,0,19,1,1,13,14,pred,4,4,1,982,110|66|283|123
2,0,19,1,1,13,13,actual,8,8,1,982,64|269|181|334|79|270|339|145
2,0,19,1,1,14,15,pred,4,4,1,982,82|15|310|224
2,0,19,1,1,14,14,actual,8,8,1,982,66|110|283|123|152|248|185|132
2,0,19,1,1,15,16,pred,4,4,1,982,302|319|308|133
2,0,19,1,1,15,15,actual,8,8,1,982,82|15|310|119|224|130|6|93
2,0,19,1,1,16,17,pred,4,4,1,982,120|304|41|368
2,0,19,1,1,16,16,actual,8,8,1,982,302|319|308|196|283|280|136|27
2,0,19,1,1,17,18,pred,4,4,1,982,211|143|10|257
2,0,19,1,1,17,17,actual,8,8,1,982,120|304|41|14|368|259|114|189
2,0,19,1,1,18,19,pred,4,4,1,982,180|197|24|323
2,0,19,1,1,18,18,actual,8,8,1,982,211|143|283|152|156|48|245|10
2,0,19,1,1,19,20,pred,4,4,1,982,211|264|25|42
2,0,19,1,1,19,19,actual,8,8,1,982,180|197|305|24|269|146|160|323
2,0,19,1,1,20,21,pred,4,4,1,982,294|3|197|205
2,0,19,1,1,20,20,actual,8,8,1,982,211|264|25|42|55|151|2|168
2,0,19,1,1,21,22,pred,4,4,1,982,244|281|309|2
2,0,19,1,1,21,21,actual,8,8,1,982,294|3|197|205|173|83|363|330
2,0,19,1,1,22,23,pred,4,4,1,982,42|90|71|270
2,0,19,1,1,22,22,actual,8,8,1,982,244|260|281|309|235|2|319|67
2,0,19,1,1,23,24,pred,4,4,1,982,101|292|199|153
2,0,19,1,1,23,23,actual,8,8,1,982,270|90|105|42|71|44|53|246
2,0,19,1,1,24,25,pred,4,4,1,982,191|52|345|131
2,0,19,1,1,24,24,actual,8,8,1,982,101|292|199|153|263|12|120|343
2,0,19,1,1,25,26,pred,4,4,1,982,369|355|193|274
2,0,19,1,1,25,25,actual,8,8,1,982,191|52|345|131|283|142|134|302
2,0,19,1,1,26,27,pred,4,4,1,982,280|81|16|154
2,0,19,1,1,26,26,actual,8,8,1,982,369|355|213|193|334|194|134|200
2,0,19,1,1,27,28,pred,4,4,1,982,213|289|32|262
2,0,19,1,1,27,27,actual,8,8,1,982,280|81|76|16|245|230|154|64
2,0,19,1,1,28,29,pred,4,4,1,982,95|247|226|126
2,0,19,1,1,28,28,actual,8,8,1,982,213|262|289|32|138|312|372|177
2,0,19,1,1,29,30,pred,4,4,1,982,204|340|31|29
